#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
ML011610a-PA         -          COG0666              -                  0 1622.7  49.7   2.8e-50  171.0   0.4  15.0   2   2  13  16  16  16  16 -
ML435844a-PA         -          COG0666              -           1.3e-186  617.3  29.3   3.6e-34  118.2   0.2  10.9   1   1   7  10  10  10  10 -
ML097525a-PA         -          COG0666              -             1e-166  552.2  41.6   1.8e-27   96.3   0.2   7.3   2   2   4   7   7   7   7 -
ML105429a-PA         -          COG0666              -             2e-132  439.9  19.7   1.5e-39  135.8   0.5   4.8   1   1   4   5   5   5   5 -
ML038011a-PA         -          COG0666              -            3.3e-99  331.1  33.6   5.6e-30  104.5   2.9   6.0   2   1   4   6   6   6   6 -
ML10592a-PA          -          COG0666              -            1.3e-86  289.9  17.3     4e-32  111.5   1.4   6.0   3   1   2   5   5   5   5 -
ML1541114a-PA        -          COG0666              -            2.2e-77  259.7  14.1   8.7e-15   54.8   0.0   9.5   4   4   4   8   8   8   7 -
ML279833a-PA         -          COG0666              -            2.4e-68  230.1   0.4     4e-40  137.7   0.4   5.1   1   1   1   3   3   3   3 -
ML358816a-PA         -          COG0666              -            6.4e-65  218.9  10.9   1.5e-47  162.0   3.2   3.6   2   1   0   2   2   2   2 -
ML045225a-PA         -          COG0666              -            1.4e-59  201.4   0.1   2.5e-34  118.7   0.5   3.0   1   1   1   2   2   2   2 -
ML04062a-PA          -          COG0666              -            3.5e-57  193.6   5.4   1.5e-28   99.8   0.1   3.7   2   1   2   4   4   4   4 -
ML27987a-PA          -          COG0666              -            1.4e-51  175.2  13.3   3.1e-18   66.0   0.2   3.9   1   1   3   4   4   4   4 -
ML01749a-PA          -          COG0666              -            3.3e-51  174.0   5.0   2.2e-16   60.0   0.0   7.0   3   2   4   7   7   6   6 -
ML13568a-PA          -          COG0666              -            9.4e-50  169.2   8.0   2.2e-44  151.7   6.2   3.0   1   1   1   2   2   2   2 -
ML064940a-PA         -          COG0666              -            7.5e-49  166.3   7.7   6.1e-28   97.8   1.2   3.0   1   1   2   3   3   3   3 -
ML15412a-PA          -          COG0666              -            7.5e-49  166.3   7.6     8e-24   84.4   3.6   3.4   2   1   1   3   3   3   3 -
ML016313a-PA         -          COG0666              -              2e-48  164.9   8.3   4.6e-23   81.9   0.3   3.5   2   1   2   4   4   4   3 -
ML279815a-PA         -          COG0666              -            2.4e-45  154.8   2.5   1.5e-23   83.5   0.2   2.3   1   1   1   2   2   2   2 -
ML20101a-PA          -          COG0666              -            6.7e-45  153.4   0.4   3.9e-21   75.6   0.8   3.7   2   1   2   4   4   4   4 -
ML074238a-PA         -          COG0666              -            7.1e-44  150.0   0.0     7e-34  117.3   0.0   1.8   1   1   1   2   2   2   2 -
ML072815a-PA         -          COG0666              -            9.8e-44  149.5   1.9   7.4e-22   77.9   0.2   2.2   2   0   0   2   2   2   2 -
ML263524a-PA         -          COG0666              -            7.7e-43  146.6   1.3   1.5e-27   96.6   0.5   3.2   1   1   1   2   2   2   2 -
ML05803a-PA          -          COG0666              -            6.8e-42  143.5  15.7   1.2e-21   77.2   2.7   3.1   1   1   2   3   3   3   3 -
ML045224a-PA         -          COG0666              -              3e-39  134.8   0.0   7.8e-39  133.5   0.0   1.7   2   0   0   2   2   1   1 -
ML16644a-PA          -          COG0666              -              6e-39  133.9   0.2   3.1e-15   56.2   0.1   5.7   2   2   1   4   4   4   4 -
ML086417a-PA         -          COG0666              -            1.6e-37  129.2   0.9     4e-37  127.9   0.8   1.6   1   1   0   1   1   1   1 -
ML00487a-PA          -          COG0666              -            1.1e-36  126.4   5.6   1.4e-26   93.4   5.9   2.3   1   1   1   2   2   2   2 -
ML199831a-PA         -          COG0666              -            2.1e-36  125.5   3.9   3.3e-23   82.3   3.0   2.7   1   1   0   2   2   2   2 -
ML08723a-PA          -          COG0666              -              4e-33  114.8   0.6   1.9e-32  112.6   0.6   1.8   1   1   0   1   1   1   1 -
ML02873a-PA          -          COG0666              -            1.8e-32  112.7   3.5   1.8e-25   89.7   0.2   1.6   1   1   1   2   2   2   2 -
ML01103a-PA          -          COG0666              -            1.2e-31  110.0   0.5   1.2e-18   67.5   0.2   2.2   1   1   0   2   2   2   2 -
ML02166a-PA          -          COG0666              -            2.5e-31  108.9   1.5   7.8e-17   61.5   0.0   2.2   2   0   0   2   2   2   2 -
ML05711a-PA          -          COG0666              -            1.3e-30  106.5   4.4   4.9e-25   88.3   0.8   2.1   1   1   1   2   2   2   2 -
ML05077a-PA          -          COG0666              -            3.6e-30  105.1   1.5   5.8e-17   61.9   0.6   3.3   1   1   1   2   2   2   2 -
ML032919a-PA         -          COG0666              -            8.6e-30  103.9   8.8   2.8e-18   66.2   2.1   2.9   1   1   1   2   2   2   2 -
ML044123a-PA         -          COG0666              -            1.6e-29  103.0   0.2   7.7e-16   58.2   0.2   2.2   1   1   0   2   2   2   2 -
ML279614a-PA         -          COG0666              -            2.5e-29  102.4   0.2     5e-24   85.0   0.3   2.2   2   0   0   2   2   2   2 -
ML22261a-PA          -          COG0666              -            5.8e-29  101.2   1.2   1.6e-15   57.2   0.0   2.6   1   1   1   2   2   2   2 -
ML14594a-PA          -          COG0666              -              1e-28  100.4   3.8   3.4e-23   82.3   0.4   3.1   2   1   1   3   3   2   2 -
ML010319a-PA         -          COG0666              -              1e-28  100.4   0.8   7.4e-17   61.5   0.0   2.5   1   1   1   2   2   2   2 -
ML00427a-PA          -          COG0666              -            3.9e-28   98.5   0.9   4.1e-26   91.8   1.4   2.0   1   1   1   2   2   2   2 -
ML06271a-PA          -          COG0666              -            4.2e-28   98.4   1.7   2.4e-10   40.3   0.0   3.7   3   1   1   4   4   3   3 -
ML279816a-PA         -          COG0666              -            7.8e-28   97.5   1.1   1.2e-20   74.0   0.1   2.9   2   1   1   3   3   2   2 -
ML15413a-PA          -          COG0666              -            1.3e-27   96.8   0.8   1.1e-16   61.0   0.0   2.8   2   1   1   3   3   3   2 -
ML128617a-PA         -          COG0666              -            3.1e-27   95.5   1.4   2.8e-21   76.0   1.0   2.2   1   1   1   2   2   2   2 -
