#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
ENSCAFP00000060526   -          KOG0161              -                  0 3477.9 197.0         0 3477.7 197.0   1.0   1   0   0   1   1   1   1 -
ENSCAFP00000057173   -          KOG0161              -                  0 3425.0 201.1         0 3424.8 201.1   1.0   1   0   0   1   1   1   1 -
ENSCAFP00000046753   -          KOG0161              -                  0 3388.8 203.0         0 3388.6 203.0   1.0   1   0   0   1   1   1   1 -
ENSCAFP00000061753   -          KOG0161              -                  0 3149.1 136.4         0 3148.8 136.4   1.0   1   0   0   1   1   1   1 -
ENSCAFP00000022286   -          KOG0161              -                  0 1707.7 164.4         0 1707.5 164.4   1.0   1   0   0   1   1   1   1 -
ENSCAFP00000025874   -          KOG0161              -                  0 1692.6 171.6         0 1692.3 171.6   1.0   1   0   0   1   1   1   1 -
ENSCAFP00000025869   -          KOG0161              -                  0 1678.3 175.6         0 1678.0 175.6   1.0   1   0   0   1   1   1   1 -
ENSCAFP00000025828   -          KOG0161              -                  0 1676.9 175.8         0 1676.7 175.8   1.0   1   0   0   1   1   1   1 -
ENSCAFP00000025934   -          KOG0161              -                  0 1671.5 177.6         0 1671.2 177.6   1.0   1   0   0   1   1   1   1 -
ENSCAFP00000025847   -          KOG0161              -                  0 1664.1 173.6         0 1663.7 173.6   1.0   1   0   0   1   1   1   1 -
ENSCAFP00000025727   -          KOG0161              -                  0 1632.6 166.5         0 1632.3 166.5   1.0   1   0   0   1   1   1   1 -
ENSCAFP00000011657   -          KOG0161              -                  0 1533.4 159.2         0 1525.9 159.2   2.0   1   1   0   1   1   1   1 -
ENSCAFP00000053932   -          KOG0161              -                  0 1513.2 195.8         0 1265.0 191.5   2.0   2   0   0   2   2   2   2 -
ENSCAFP00000052319   -          KOG0161              -                  0 1326.9 149.4         0 1322.4 134.8   1.9   1   1   1   2   2   2   2 -
ENSCAFP00000050462   -          KOG0161              -           6.6e-204  680.1   3.6  6.6e-204  680.1   3.6   3.4   1   1   1   2   2   1   1 -
ENSCAFP00000047066   -          KOG0161              -           1.3e-203  679.1   5.3  1.3e-203  679.1   5.3   4.6   1   1   2   3   3   2   1 -
ENSCAFP00000007700   -          KOG0161              -           2.7e-187  625.1   3.7  2.7e-187  625.1   3.7   2.5   1   1   1   2   2   1   1 -
ENSCAFP00000035971   -          KOG0161              -           5.3e-183  610.8   3.7  5.3e-183  610.8   3.7   2.1   2   0   0   2   2   2   1 -
ENSCAFP00000014835   -          KOG0161              -           5.7e-179  597.5  11.0  1.1e-178  596.5  10.7   1.6   1   1   0   1   1   1   1 -
ENSCAFP00000056918   -          KOG0161              -           3.2e-171  571.8 164.3  1.8e-104  350.4   0.0   5.5   2   1   3   5   5   4   4 -
ENSCAFP00000064257   -          KOG0161              -             1e-166  556.8  11.0  1.4e-166  556.4  11.0   1.0   1   0   0   1   1   1   1 -
ENSCAFP00000028283   -          KOG0161              -           3.3e-165  551.8   0.5    8e-165  550.6   0.5   1.6   1   1   0   1   1   1   1 -
ENSCAFP00000000227   -          KOG0161              -           2.7e-163  545.5   2.7  6.5e-163  544.2   2.7   1.4   1   1   0   1   1   1   1 -
ENSCAFP00000056226   -          KOG0161              -           4.2e-162  541.6   8.4  4.2e-162  541.6   8.4   2.3   1   1   1   2   2   2   1 -
ENSCAFP00000024489   -          KOG0161              -           6.7e-162  540.9   6.2  1.1e-161  540.1   6.2   1.2   1   0   0   1   1   1   1 -
ENSCAFP00000027371   -          KOG0161              -           1.4e-158  529.9   2.6  2.4e-158  529.1   2.6   1.2   1   0   0   1   1   1   1 -
ENSCAFP00000062247   -          KOG0161              -           8.5e-157  523.9  42.4  1.7e-135  453.3  39.5   2.5   1   1   1   2   2   2   2 -
ENSCAFP00000057288   -          KOG0161              -           2.4e-156  522.5  10.2     2e-83  280.7   4.7   3.2   2   1   1   3   3   2   2 -
ENSCAFP00000018396   -          KOG0161              -           3.2e-156  522.0   6.1  4.8e-156  521.5   6.1   1.2   1   0   0   1   1   1   1 -
ENSCAFP00000057804   -          KOG0161              -           2.6e-153  512.4  13.1  7.5e-134  447.9   2.1   4.1   2   1   3   5   5   3   2 -
ENSCAFP00000006369   -          KOG0161              -             1e-147  493.9  32.0    1e-147  493.9  32.0   2.1   1   1   1   2   2   1   1 -
ENSCAFP00000026026   -          KOG0161              -           2.6e-143  479.2  22.2  5.8e-127  425.0   7.2   5.4   5   1   0   5   5   4   2 -
ENSCAFP00000026307   -          KOG0161              -           1.2e-122  410.8   3.4  1.9e-119  400.1   0.0   2.4   3   0   0   3   3   2   2 -
ENSCAFP00000017140   -          KOG0161              -           1.1e-111  374.4  88.6   1.5e-99  334.1   0.0   3.7   1   1   2   3   3   3   2 -
ENSCAFP00000009088   -          KOG0161              -            4.4e-83  279.5   1.1   5.7e-83  279.2   1.1   1.1   1   0   0   1   1   1   1 -
ENSCAFP00000023957   -          KOG0161              -            1.1e-54  185.3 169.5   8.3e-36  122.8  53.4   2.2   1   1   1   2   2   2   2 -
ENSCAFP00000018714   -          KOG0161              -            1.1e-39  135.7 186.5   7.4e-36  123.0  77.7   3.0   1   1   2   3   3   3   3 -
ENSCAFP00000012796   -          KOG0161              -            4.9e-22   77.1  44.9   4.6e-15   54.0  37.0   2.1   1   1   1   2   2   2   2 -
ENSCAFP00000038314   -          KOG0161              -              3e-16   57.9   0.0     4e-16   57.5   0.0   1.1   1   0   0   1   1   1   1 -
ENSCAFP00000019615   -          KOG0161              -            7.2e-05   20.2  20.3   9.3e-05   19.8  20.3   1.1   1   0   0   1   1   1   1 -
ENSCAFP00000019496   -          KOG0161              -            0.00015   19.2   0.0   0.00021   18.7   0.0   1.1   1   0   0   1   1   1   1 -
ENSCAFP00000062322   -          KOG0161              -            0.00022   18.6  56.7    0.0003   18.2  56.7   1.1   1   0   0   1   1   1   1 -
ENSCAFP00000015246   -          KOG0161              -            0.00062   17.1  32.9   0.00062   17.1  32.9   1.7   2   0   0   2   2   2   1 -
ENSCAFP00000002481   -          KOG0161              -            0.00099   16.4  81.5     0.022   12.0  42.3   2.0   1   1   1   2   2   2   2 -
