#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
BL08181_evm0         -          KOG0619              -           2.4e-206  682.5 122.1   3.1e-27   96.3   3.9  13.0   2   1  13  15  15  14  14 -
BL23201_cuf0         -          KOG0619              -           3.8e-140  465.8  63.6   2.2e-23   83.7   0.1   7.8   2   2   6   8   8   8   8 -
BL14831_evm6         -          KOG0619              -             3e-132  440.0  77.7   2.6e-28   99.9   7.6   5.7   1   1   6   7   7   7   7 -
BL95068_evm2         -          KOG0619              -           3.6e-122  407.0  50.6   6.1e-30  105.2   7.5   7.1   2   1   5   7   7   6   6 -
BL13960_cuf2         -          KOG0619              -           2.1e-120  401.2  65.1   8.6e-24   85.1   3.9   7.7   1   1   6   7   7   7   7 -
BL15269_cuf1         -          KOG0619              -           5.6e-120  399.8  43.4   9.8e-27   94.7   4.7   7.1   1   1   5   7   7   7   7 -
BL42153_cuf0         -          KOG0619              -           1.5e-103  346.1  35.2   1.1e-23   84.8   0.5   5.6   1   1   5   6   6   6   6 -
BL25209_evm0         -          KOG0619              -           7.7e-100  333.9  60.4   2.5e-17   63.9   0.4   8.3   1   1   7   8   8   8   8 -
BL22276_evm0         -          KOG0619              -            1.1e-95  320.4  75.3   2.3e-15   57.5   3.4   8.8   6   2   2   8   8   8   8 -
BL95067_evm1         -          KOG0619              -            2.4e-93  312.7  20.2   1.4e-23   84.4   0.3   6.0   1   1   4   5   5   5   5 -
BL95066_evm0         -          KOG0619              -            1.4e-87  293.9  25.7   3.1e-25   89.8   3.7   4.1   1   1   4   5   5   5   5 -
BL16619_evm2         -          KOG0619              -            5.2e-83  278.9  25.3   3.7e-25   89.5   7.4   5.1   1   1   4   5   5   5   5 -
BL10703_evm0         -          KOG0619              -            1.7e-74  251.1  30.6   1.2e-21   78.0   1.2   5.7   2   2   3   5   5   5   5 -
BL04347_evm0         -          KOG0619              -            6.8e-74  249.0  65.1   4.1e-13   50.1   0.6   9.4   3   3   7  10  10  10  10 -
BL05574_evm0         -          KOG0619              -            3.4e-72  243.5  40.4   6.1e-21   75.8   4.8   3.2   1   1   3   4   4   4   4 -
BL21444_evm0         -          KOG0619              -            5.3e-72  242.8  30.0   1.5e-24   87.6   1.6   4.3   1   1   3   4   4   4   4 -
BL08254_evm0         -          KOG0619              -              1e-68  232.1  17.9   3.1e-19   70.2   0.8   4.2   1   1   3   4   4   4   4 -
BL05708_evm0         -          KOG0619              -            4.9e-68  229.9  18.3   1.6e-20   74.4   1.8   4.3   1   1   3   4   4   4   4 -
BL95649_evm0         -          KOG0619              -            8.4e-67  225.8  36.5   1.6e-17   64.6   3.4   5.7   2   1   4   6   6   5   5 -
BL00561_cuf4         -          KOG0619              -            1.1e-65  222.2  27.9   1.5e-20   74.5   4.3   3.8   1   1   3   4   4   4   4 -
BL10114_evm0         -          KOG0619              -            9.2e-65  219.2  32.9   2.2e-25   90.3   5.9   4.5   1   1   3   4   4   4   4 -
