#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
ENSMUSP00000158045   -          KOG3614              -                  0 2320.5   0.0         0 2320.2   0.0   1.0   1   0   0   1   1   1   1 -
ENSMUSP00000099513   -          KOG3614              -                  0 2262.7   0.6         0 2262.5   0.6   1.0   1   0   0   1   1   1   1 -
ENSMUSP00000146226   -          KOG3614              -                  0 2250.9   0.0         0 2250.6   0.0   1.0   1   0   0   1   1   1   1 -
ENSMUSP00000037443   -          KOG3614              -                  0 2197.8   0.2         0 2120.1   2.8   2.0   1   1   0   2   2   2   2 -
ENSMUSP00000101040   -          KOG3614              -           2.9e-247  823.8  20.6  1.2e-158  530.2   4.8   2.9   1   1   1   2   2   2   2 -
ENSMUSP00000040367   -          KOG3614              -           1.3e-214  715.7   0.0  7.4e-213  709.8   0.0   2.0   1   1   0   1   1   1   1 -
ENSMUSP00000009390   -          KOG3614              -           3.7e-195  651.1   0.3  1.5e-115  387.4   0.8   2.0   2   0   0   2   2   2   2 -
ENSMUSP00000108739   -          KOG3614              -           7.7e-191  636.9  33.5  1.6e-104  350.8   0.4   3.0   1   1   2   3   3   3   3 -
ENSMUSP00000049063   -          KOG3614              -              7e-20   70.4  16.3   8.4e-17   60.2  11.3   2.3   1   1   1   2   2   2   2 -
ENSMUSP00000116934   -          KOG3614              -            8.3e-20   70.2  20.1   1.2e-14   53.1  17.3   2.8   2   1   0   2   2   2   2 -
ENSMUSP00000029311   -          KOG3614              -            1.3e-19   69.5  22.0   2.5e-15   55.3  18.2   2.6   2   1   0   2   2   2   2 -
ENSMUSP00000081903   -          KOG3614              -            1.9e-19   69.0  19.5   1.6e-14   52.6  16.8   2.8   2   1   0   2   2   2   2 -
ENSMUSP00000022023   -          KOG3614              -            1.2e-14   53.1  16.8   5.3e-11   41.0   7.8   2.8   3   0   0   3   3   3   2 -
ENSMUSP00000139672   -          KOG3614              -            4.7e-13   47.8  15.1   1.1e-08   33.3  11.8   2.7   2   1   0   2   2   2   2 -
ENSMUSP00000029271   -          KOG3614              -            1.1e-12   46.5   6.9   1.1e-12   46.5   6.9   3.3   3   1   0   4   4   4   2 -
