#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
EDO47658             -          KOG3614              -                  0 1067.8   1.6  1.8e-165  552.9   0.3   2.0   2   0   0   2   2   2   2 -
EDO30135             -          KOG3614              -           3.4e-295  982.7   6.9  1.4e-293  977.4   7.0   2.0   1   1   0   1   1   1   1 -
EDO31100             -          KOG3614              -            1.2e-20   73.0  14.3     2e-20   72.3  14.3   1.2   1   0   0   1   1   1   1 -
EDO48346             -          KOG3614              -            2.8e-15   55.3  20.8     5e-11   41.2  17.4   2.3   2   0   0   2   2   2   2 -
EDO45311             -          KOG3614              -            1.4e-13   49.6  16.7   4.6e-12   44.6  16.0   2.1   2   0   0   2   2   2   1 -
EDO43347             -          KOG3614              -            9.1e-09   33.7  15.4   9.1e-09   33.7  15.4   1.9   2   1   0   2   2   2   1 -
EDO38427             -          KOG3614              -            1.1e-08   33.5  15.2   4.2e-08   31.5  10.9   3.2   2   1   0   2   2   2   1 -
EDO36284             -          KOG3614              -              6e-07   27.7   0.0   6.1e-07   27.6   0.0   1.0   1   0   0   1   1   1   1 -
EDO31201             -          KOG3614              -            6.1e-07   27.7   0.0   6.2e-07   27.6   0.0   1.0   1   0   0   1   1   1   1 -
EDO49302             -          KOG3614              -            1.5e-06   26.4  14.0   8.3e-05   20.6   9.5   2.3   2   0   0   2   2   2   2 -
EDO31202             -          KOG3614              -            6.3e-06   24.3   0.0   6.9e-06   24.2   0.0   1.0   1   0   0   1   1   1   1 -
EDO49167             -          KOG3614              -              1e-05   23.6  14.7     1e-05   23.6  14.7   1.9   2   0   0   2   2   2   1 -
EDO47677             -          KOG3614              -            2.2e-05   22.5   8.1    0.0012   16.7   8.1   2.2   1   1   0   1   1   1   1 -
EDO39064             -          KOG3614              -             0.0002   19.3  11.8    0.0011   16.8  10.0   2.6   2   1   0   2   2   2   1 -
EDO39289             -          KOG3614              -             0.0005   18.0   7.2   0.00095   17.1   7.2   1.4   1   0   0   1   1   1   1 -
EDO39579             -          KOG3614              -             0.0023   15.8   3.1    0.0025   15.7   3.1   1.1   1   0   0   1   1   1   1 -
EDO39063             -          KOG3614              -             0.0069   14.2  13.2     0.011   13.6  13.2   1.2   1   0   0   1   1   1   1 -
EDO46075             -          KOG3614              -                0.1   10.4   4.6       0.1   10.3   4.6   1.1   1   0   0   1   1   1   0 -
EDO46634             -          KOG3614              -               0.11   10.2   0.2     0.095   10.4   0.2   1.1   1   0   0   1   1   1   0 -
EDO34870             -          KOG3614              -               0.13   10.0   0.9      0.12   10.1   0.9   1.0   1   0   0   1   1   1   0 -
EDO47729             -          KOG3614              -               0.16    9.7   2.3       0.2    9.4   2.3   1.1   1   0   0   1   1   1   0 -
EDO40224             -          KOG3614              -                0.2    9.3   6.1      0.24    9.1   6.1   1.0   1   0   0   1   1   1   0 -
EDO30155             -          KOG3614              -               0.28    8.9   0.3      0.36    8.5   0.3   1.1   1   0   0   1   1   1   0 -
EDO36436             -          KOG3614              -               0.28    8.9   1.3      0.34    8.6   1.3   1.0   1   0   0   1   1   1   0 -
EDO40592             -          KOG3614              -                0.3    8.8   4.7       0.3    8.8   4.7   1.1   1   0   0   1   1   1   0 -
EDO30154             -          KOG3614              -               0.33    8.6   3.8      0.37    8.5   3.8   1.0   1   0   0   1   1   1   0 -
EDO37115             -          KOG3614              -               0.46    8.2   9.9      0.43    8.3   9.9   1.1   1   0   0   1   1   1   0 -
EDO38213             -          KOG3614              -               0.48    8.1   4.2      0.49    8.1   4.2   1.0   1   0   0   1   1   1   0 -
EDO36345             -          KOG3614              -               0.49    8.1   2.3      0.51    8.0   1.4   1.3   2   0   0   2   2   2   0 -
EDO40211             -          KOG3614              -                0.5    8.0   0.9       0.5    8.0   0.9   1.2   1   0   0   1   1   1   0 -
EDO44111             -          KOG3614              -               0.56    7.9   1.7      0.66    7.7   1.7   1.0   1   0   0   1   1   1   0 -
EDO42505             -          KOG3614              -               0.64    7.7   1.9      0.67    7.6   1.9   1.0   1   0   0   1   1   1   0 -
EDO43859             -          KOG3614              -               0.65    7.7   8.6      0.75    7.5   8.6   1.0   1   0   0   1   1   1   0 -
EDO33693             -          KOG3614              -               0.66    7.7  14.5      0.33    8.6   5.7   2.6   2   1   0   2   2   2   0 -
EDO30859             -          KOG3614              -               0.74    7.5   1.4      0.73    7.5   1.4   1.1   1   0   0   1   1   1   0 -
EDO43706             -          KOG3614              -               0.77    7.4   7.6      0.84    7.3   7.6   1.1   1   0   0   1   1   1   0 -
EDO39175             -          KOG3614              -               0.83    7.3   1.5         1    7.0   1.5   1.1   1   0   0   1   1   1   0 -
EDO29459             -          KOG3614              -               0.86    7.3   0.3      0.84    7.3   0.3   1.0   1   0   0   1   1   1   0 -
EDO39604             -          KOG3614              -                0.9    7.2   0.7       1.1    6.9   0.7   1.1   1   0   0   1   1   1   0 -
EDO33405             -          KOG3614              -               0.93    7.2   1.5       1.2    6.8   1.5   1.1   1   0   0   1   1   1   0 -
EDO49651             -          KOG3614              -               0.94    7.1   0.7      0.98    7.1   0.7   1.1   1   0   0   1   1   1   0 -
EDO27938             -          KOG3614              -               0.95    7.1   3.5      0.86    7.3   3.5   1.0   1   0   0   1   1   1   0 -
EDO33806             -          KOG3614              -               0.95    7.1   0.3       1.1    6.9   0.3   1.1   1   0   0   1   1   1   0 -
#
# Program:         hmmsearch
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SEARCH
# Query file:      ../../profiles/RefOG012.strict.hmm
# Target file:     Nematostella_vectensis.ASM20922v1.pep.all.fa
# Option settings: hmmsearch -o /dev/null --tblout ../../hmmer_results/Ref012.Nematostella_vectensis.ASM20922v1.pep.all.fa.txt --noali -E 1 --max --cpu 1 ../../profiles/RefOG012.strict.hmm Nematostella_vectensis.ASM20922v1.pep.all.fa 
# Current dir:     /data/orig/projects/OrthoFinder/benchmarks/Orthobench/v2/proteomes/primary_transcripts
# Date:            Wed Mar 11 18:31:26 2020
# [ok]
