#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
ENSGALP00000049092   -          KOG3544              -                  0 1786.6 476.5         0 1786.3 476.5   1.0   1   0   0   1   1   1   1 -
ENSGALP00000065392   -          KOG3544              -                  0 1713.1 429.7         0 1712.9 429.7   1.0   1   0   0   1   1   1   1 -
ENSGALP00000007904   -          KOG3544              -                  0 1375.9 339.7         0 1375.8 339.7   1.0   1   0   0   1   1   1   1 -
ENSGALP00000013206   -          KOG3544              -             2e-209  697.4  78.0  4.4e-208  692.9  78.0   1.9   1   1   0   1   1   1   1 -
ENSGALP00000041602   -          KOG3544              -           1.2e-179  598.7 457.3   1.5e-92  310.0 208.6   2.7   1   1   1   2   2   2   2 -
ENSGALP00000052906   -          KOG3544              -           2.3e-178  594.4 523.4  1.2e-110  370.0 310.7   2.6   1   1   1   2   2   2   2 -
ENSGALP00000053427   -          KOG3544              -           1.1e-177  592.2  65.0  2.6e-177  590.9  65.0   1.5   1   1   0   1   1   1   1 -
ENSGALP00000051075   -          KOG3544              -           9.5e-177  589.1 517.9  2.1e-132  442.1 373.0   3.0   1   1   1   2   2   2   2 -
ENSGALP00000058114   -          KOG3544              -             5e-173  576.7 470.7     1e-79  267.5 199.0   3.7   1   1   1   3   3   3   3 -
ENSGALP00000058148   -          KOG3544              -           1.3e-171  572.1 505.8  1.5e-104  349.8 311.4   2.7   1   1   1   2   2   2   2 -
ENSGALP00000011096   -          KOG3544              -           4.8e-171  570.2 489.5   3.8e-81  272.2 208.2   3.0   1   1   2   3   3   3   3 -
ENSGALP00000071542   -          KOG3544              -           2.9e-169  564.3 514.0  2.2e-118  395.6 359.0   2.1   1   1   1   2   2   2   2 -
ENSGALP00000051057   -          KOG3544              -           9.2e-167  556.0 533.2   7.4e-99  330.9 298.1   2.1   1   1   1   2   2   2   2 -
ENSGALP00000015687   -          KOG3544              -           1.6e-166  555.2 479.9  1.4e-126  422.8 363.3   2.1   1   1   1   2   2   2   2 -
ENSGALP00000060350   -          KOG3544              -           4.1e-116  388.1 372.3   1.3e-70  237.3 222.1   1.9   1   1   1   2   2   2   2 -
ENSGALP00000072403   -          KOG3544              -           5.9e-108  361.1   8.6  6.5e-108  360.9   8.6   1.0   1   0   0   1   1   1   1 -
ENSGALP00000036264   -          KOG3544              -            6.4e-98  327.8 254.4   1.3e-17   61.6  39.2   2.1   1   1   0   1   1   1   1 -
ENSGALP00000057178   -          KOG3544              -            9.7e-97  323.9 244.7   2.1e-96  322.8 244.7   1.5   1   1   0   1   1   1   1 -
ENSGALP00000071836   -          KOG3544              -              8e-84  281.1 224.9   9.2e-84  280.9 224.9   1.0   1   0   0   1   1   1   1 -
ENSGALP00000044395   -          KOG3544              -              2e-80  269.8 242.2     3e-64  216.2 185.8   3.8   2   2   0   2   2   2   2 -
ENSGALP00000024565   -          KOG3544              -            2.6e-77  259.5 243.3   2.7e-48  163.3 135.0   2.2   1   1   1   2   2   2   2 -
ENSGALP00000006805   -          KOG3544              -            7.4e-75  251.4 165.6   1.5e-74  250.4 165.6   1.4   1   0   0   1   1   1   1 -
ENSGALP00000024087   -          KOG3544              -            1.4e-71  240.5 202.4   5.7e-71  238.5 202.0   1.8   1   1   0   1   1   1   1 -
ENSGALP00000070547   -          KOG3544              -            1.6e-69  233.7 183.8   2.3e-47  160.2 114.5   2.1   1   1   1   2   2   2   2 -
ENSGALP00000003607   -          KOG3544              -              1e-68  231.0 215.2   7.6e-68  228.1 214.1   1.9   1   1   0   1   1   1   1 -
ENSGALP00000017302   -          KOG3544              -            5.8e-68  228.5 221.2   2.9e-44  150.0 145.3   2.1   1   1   1   2   2   2   2 -
ENSGALP00000055337   -          KOG3544              -            4.4e-63  212.3 148.0   5.3e-63  212.1 147.9   1.0   1   0   0   1   1   1   1 -
ENSGALP00000057372   -          KOG3544              -            2.3e-59  200.0 139.6   3.2e-59  199.5 139.6   1.0   1   0   0   1   1   1   1 -
ENSGALP00000043563   -          KOG3544              -            3.2e-58  196.2 147.7   4.4e-58  195.8 147.7   1.0   1   0   0   1   1   1   1 -
ENSGALP00000049394   -          KOG3544              -            3.4e-56  189.5 129.0   1.1e-55  187.8 128.7   1.6   1   1   0   1   1   1   1 -
ENSGALP00000066446   -          KOG3544              -            5.9e-56  188.7 331.7     8e-16   55.7 120.5   3.0   1   1   0   2   2   2   2 -
ENSGALP00000071197   -          KOG3544              -            1.5e-51  174.1 145.4   2.3e-51  173.5 145.4   1.2   1   0   0   1   1   1   1 -
ENSGALP00000073688   -          KOG3544              -            2.7e-51  173.3  68.0   5.4e-51  172.3  68.0   1.5   1   1   0   1   1   1   1 -
ENSGALP00000073867   -          KOG3544              -            2.7e-46  156.7  46.6   3.6e-46  156.3  46.6   1.0   1   0   0   1   1   1   1 -
ENSGALP00000037101   -          KOG3544              -            2.2e-43  147.1  93.9   2.8e-43  146.7  93.9   1.0   1   0   0   1   1   1   1 -
ENSGALP00000009298   -          KOG3544              -            5.3e-43  145.8  96.7     7e-29   99.0  51.7   2.0   2   0   0   2   2   2   2 -
ENSGALP00000070722   -          KOG3544              -              2e-40  137.2  70.9   2.7e-40  136.8  70.9   1.0   1   0   0   1   1   1   1 -
ENSGALP00000042580   -          KOG3544              -            1.4e-38  131.1  88.1   1.8e-38  130.7  88.1   1.0   1   0   0   1   1   1   1 -
ENSGALP00000051955   -          KOG3544              -            2.8e-38  130.1 112.1   5.7e-38  129.1 112.2   1.3   1   1   0   1   1   1   1 -
ENSGALP00000073934   -          KOG3544              -              1e-35  121.6  88.7   2.9e-35  120.1  88.7   1.6   1   1   0   1   1   1   1 -
ENSGALP00000073358   -          KOG3544              -            2.6e-35  120.3 194.0     1e-34  118.3 194.1   1.8   1   1   0   1   1   1   1 -
ENSGALP00000060841   -          KOG3544              -            6.3e-35  119.0 112.4   7.6e-34  115.4 112.6   1.7   1   1   0   1   1   1   1 -
ENSGALP00000043411   -          KOG3544              -              2e-33  114.0 104.1     2e-30  104.1  87.6   2.0   1   1   0   1   1   1   1 -
