#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
ML034337a-PA         -          KOG3544              -                  0 1242.1 821.8  4.7e-194  646.4 270.2   3.7   1   1   2   3   3   3   3 -
ML25069a-PA          -          KOG3544              -                  0 1195.0 1097.6   1.3e-99  333.4 300.9   5.6   2   2   4   6   6   6   6 -
ML034334a-PA         -          KOG3544              -                  0 1191.7 809.2  9.5e-163  542.6 204.9   4.8   1   1   2   3   3   3   3 -
ML034336a-PA         -          KOG3544              -                  0 1055.8 836.6  2.2e-108  362.4 306.9   5.2   1   1   3   4   4   4   4 -
ML18175a-PA          -          KOG3544              -                  0 1051.6 650.0    1e-102  343.6 228.1   4.3   1   1   2   4   4   4   4 -
ML18198a-PA          -          KOG3544              -           4.2e-304 1011.1 641.0  6.6e-148  493.4 158.4   4.5   1   1   2   3   3   3   3 -
ML16441a-PA          -          KOG3544              -             4e-268  891.9 573.0    1e-144  482.8 187.3   3.7   2   1   1   3   3   3   3 -
ML17501a-PA          -          KOG3544              -           2.8e-266  885.8 528.1  2.3e-181  604.3 294.0   3.3   1   1   1   2   2   2   2 -
ML18197a-PA          -          KOG3544              -           2.7e-261  869.3 712.7    2e-136  455.4 429.9   5.5   1   1   3   4   4   4   4 -
ML17504a-PA          -          KOG3544              -           3.6e-232  772.7 539.4   1.7e-96  323.0 196.2   4.0   1   1   2   3   3   3   3 -
ML17502a-PA          -          KOG3544              -           7.9e-227  755.0 533.0  1.1e-106  356.8 175.5   3.8   2   1   0   3   3   3   3 -
ML034335a-PA         -          KOG3544              -           3.9e-176  587.0 194.8  4.9e-176  586.6 194.8   1.1   1   0   0   1   1   1   1 -
