#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
BL11832_evm0         -          KOG1216              -                  0 1064.4 119.3         0 1064.4 119.3   3.4   2   2   1   3   3   2   2 -
BL11724_cuf1         -          KOG1216              -           2.4e-300 1000.0 163.1  2.9e-294  979.9 127.7   6.3   4   2   2   6   6   3   2 -
BL20706_evm15        -          KOG1216              -           1.8e-295  983.9 124.4  1.5e-293  977.5 103.4  10.1   2   2   1   3   3   2   2 -
BL18222_evm3         -          KOG1216              -           1.8e-266  887.9 102.3  1.8e-266  887.9 102.3   2.0   1   1   1   2   2   2   1 -
BL96565_cuf7         -          KOG1216              -           4.4e-138  462.7 112.1  1.6e-112  378.0  32.2   4.5   1   1   4   5   5   4   4 -
BL96716_cuf11        -          KOG1216              -           2.3e-113  380.8 127.9   3.3e-61  208.0  65.1   5.0   1   1   3   4   4   3   3 -
BL97370_cuf27        -          KOG1216              -           1.8e-101  341.4 120.7     3e-40  138.7   7.3   9.8   1   1   6   9   9   5   4 -
BL12494_cuf4         -          KOG1216              -            5.7e-94  316.6 140.0   2.3e-48  165.6  66.2   6.5   1   1   5   6   6   4   4 -
BL07046_evm0         -          KOG1216              -            8.7e-94  316.0  76.4   4.1e-49  168.0  40.9   3.7   2   1   2   4   4   4   3 -
BL96542_cuf4         -          KOG1216              -            2.6e-88  297.8  54.4   1.5e-47  162.9   5.9   3.0   1   1   2   3   3   3   3 -
BL23531_evm0         -          KOG1216              -            3.7e-85  287.4  35.6   4.8e-50  171.1   0.2   2.2   1   1   1   2   2   2   2 -
BL97417_cuf3         -          KOG1216              -            7.5e-85  286.4  42.5     1e-45  156.8   0.1   2.6   1   1   1   3   3   3   3 -
BL96952_cuf1         -          KOG1216              -            1.3e-73  249.1  33.6   6.7e-72  243.5  19.9   2.0   1   1   1   2   2   2   2 -
BL96356_cuf7         -          KOG1216              -            5.8e-71  240.4  62.7   1.2e-47  163.2  11.6   2.7   1   1   1   2   2   2   2 -
BL96266_cuf5         -          KOG1216              -            3.5e-67  227.8  49.2   3.5e-22   78.8  29.9   3.8   2   1   1   3   3   3   2 -
BL96954_cuf3         -          KOG1216              -            8.2e-63  213.4   0.1   9.2e-63  213.2   0.1   1.0   1   0   0   1   1   1   1 -
BL96688_cuf10        -          KOG1216              -              8e-62  210.1  35.9   2.6e-47  162.0   1.3   2.1   1   1   1   2   2   2   2 -
BL96226_cuf5         -          KOG1216              -            2.1e-61  208.7  62.9   6.8e-61  207.0  29.6   4.2   2   2   0   2   2   2   1 -
BL19453_evm0         -          KOG1216              -              1e-60  206.4  53.9     2e-43  149.2   9.4   2.3   1   1   1   2   2   2   2 -
BL17823_cuf11        -          KOG1216              -            1.3e-60  206.1  41.5   3.8e-44  151.6   4.2   2.1   1   1   1   2   2   2   2 -
BL96982_cuf3         -          KOG1216              -            5.8e-59  200.6  46.9   2.5e-58  198.6  46.5   2.2   1   1   0   1   1   1   1 -
BL96984_cuf5         -          KOG1216              -              1e-57  196.5  31.0     4e-41  141.6   2.3   2.3   1   1   1   2   2   2   2 -
BL96895_cuf3         -          KOG1216              -              1e-56  193.2  29.5   7.5e-56  190.3  29.5   1.8   1   1   0   1   1   1   1 -
BL82838_cuf2         -          KOG1216              -            4.2e-56  191.2  23.8     1e-55  189.9  23.8   1.5   1   1   0   1   1   1   1 -
BL12489_evm0         -          KOG1216              -            5.6e-55  187.4  17.3   4.3e-50  171.3   0.5   2.0   1   1   1   2   2   2   2 -
BL97011_cuf3         -          KOG1216              -              3e-54  185.0  17.8   3.5e-54  184.8  17.8   1.0   1   0   0   1   1   1   1 -
BL04884_evm0         -          KOG1216              -            4.8e-54  184.3  33.7   1.7e-53  182.6  33.7   1.6   1   1   0   1   1   1   1 -
BL97012_cuf6         -          KOG1216              -            1.1e-52  179.8  47.5   9.9e-40  136.9  11.1   3.2   2   1   1   3   3   3   3 -
BL96955_cuf4         -          KOG1216              -            2.8e-52  178.5  23.3   1.8e-34  119.6  22.8   2.0   1   1   1   2   2   2   2 -
BL12040_cuf4         -          KOG1216              -            3.3e-52  178.3  38.9   1.9e-42  145.9   7.6   2.0   1   1   1   2   2   2   2 -
BL14552_evm0         -          KOG1216              -            1.5e-50  172.7  52.0   8.8e-38  130.5  16.8   3.2   3   0   0   3   3   2   2 -
BL06452_cuf0         -          KOG1216              -            1.3e-48  166.4  41.8   7.2e-39  134.1   7.1   5.5   2   1   4   6   6   5   2 -
BL96540_cuf0         -          KOG1216              -            1.2e-46  159.9  43.7   9.8e-46  156.8  43.3   2.5   1   1   0   1   1   1   1 -
BL97008_cuf0         -          KOG1216              -            4.6e-45  154.6  28.3   6.2e-45  154.2  28.3   1.0   1   0   0   1   1   1   1 -
BL96983_cuf4         -          KOG1216              -            2.2e-43  149.0  10.3   7.4e-43  147.3  10.3   1.6   1   1   0   1   1   1   1 -
BL96943_cuf13        -          KOG1216              -            2.8e-42  145.4  17.8     8e-42  143.9  17.8   1.6   1   1   0   1   1   1   1 -
BL16509_evm0         -          KOG1216              -            1.4e-41  143.0 358.2   2.3e-15   56.2  40.6  12.5   5   2   3  10  10   8   8 -
BL96267_cuf1         -          KOG1216              -              1e-40  140.2  26.6   1.8e-40  139.4  26.6   1.3   1   1   0   1   1   1   1 -
BL10711_cuf8         -          KOG1216              -            2.2e-38  132.5  35.9   4.7e-27   95.0  35.3   2.2   1   1   1   2   2   2   2 -
BL96942_cuf8         -          KOG1216              -            1.1e-37  130.2  34.2   6.1e-37  127.7  34.2   1.9   1   1   0   1   1   1   1 -
BL96729_cuf1         -          KOG1216              -            1.2e-36  126.7 188.5     4e-13   48.8  28.6  10.8   4   2   6  10  10   7   5 -
BL96686_cuf6         -          KOG1216              -            3.6e-35  121.8  43.4   2.3e-27   96.0  36.3   2.6   2   1   1   3   3   3   2 -
BL95468_evm1         -          KOG1216              -            4.7e-30  104.9  59.5   1.2e-21   77.0  46.8   5.4   1   1   1   4   4   2   2 -
BL13128_cuf1         -          KOG1216              -            5.1e-30  104.8 128.8   4.4e-14   52.0  36.5   5.9   3   2   2   5   5   3   3 -
BL96541_cuf2         -          KOG1216              -            5.8e-30  104.6  38.0   4.1e-22   78.6  29.7   2.0   1   1   1   2   2   2   2 -
BL90616_cuf0         -          KOG1216              -              1e-29  103.8  22.6   1.2e-29  103.6  22.6   1.0   1   0   0   1   1   1   1 -
BL44550_cuf0         -          KOG1216              -            2.2e-29  102.7   4.1   2.4e-29  102.6   4.1   1.0   1   0   0   1   1   1   1 -
BL96687_cuf8         -          KOG1216              -            5.8e-28   98.0   0.0   6.8e-28   97.7   0.0   1.0   1   0   0   1   1   1   1 -
BL96941_cuf6         -          KOG1216              -            9.7e-28   97.2   0.2   9.7e-28   97.2   0.2   2.0   1   1   0   2   2   1   1 -
BL04360_evm0         -          KOG1216              -            2.9e-27   95.7   3.9   5.8e-27   94.7   3.9   1.4   1   0   0   1   1   1   1 -
BL21482_cuf1         -          KOG1216              -            7.2e-27   94.4   0.0   7.8e-27   94.2   0.0   1.0   1   0   0   1   1   1   1 -
BL97308_cuf1         -          KOG1216              -            1.7e-26   93.1  77.4   1.1e-15   57.4  37.6   4.7   2   1   2   4   4   3   2 -
BL97010_cuf2         -          KOG1216              -              7e-25   87.8  38.6     7e-25   87.8  38.6   1.4   2   0   0   2   2   1   1 -
BL28068_evm0         -          KOG1216              -              1e-24   87.2  26.7   8.3e-24   84.2  26.7   2.0   1   1   0   1   1   1   1 -
BL96680_cuf2         -          KOG1216              -            3.7e-24   85.4   0.3   4.6e-24   85.0   0.3   1.1   1   0   0   1   1   1   1 -
BL16497_cuf1         -          KOG1216              -            6.9e-24   84.5   2.3   1.5e-23   83.3   2.3   1.5   1   0   0   1   1   1   1 -
BL26513_evm0         -          KOG1216              -            1.2e-23   83.6   0.9   1.4e-23   83.5   0.9   1.0   1   0   0   1   1   1   1 -
BL97418_cuf5         -          KOG1216              -            4.5e-22   78.5  21.2   4.5e-22   78.5  21.2   2.9   1   1   1   2   2   1   1 -
BL97312_cuf6         -          KOG1216              -            8.2e-21   74.3  85.4   5.5e-13   48.4  41.0   5.3   1   1   2   5   5   4   2 -
BL27892_evm0         -          KOG1216              -            6.4e-19   68.0   2.9   6.8e-19   67.9   2.9   1.0   1   0   0   1   1   1   1 -
BL97009_cuf1         -          KOG1216              -            9.5e-19   67.5  27.0   1.3e-17   63.7  27.0   2.8   1   1   0   1   1   1   1 -
BL95467_evm0         -          KOG1216              -            1.9e-18   66.5  52.2   1.2e-13   50.5  20.9   4.5   3   2   2   5   5   3   3 -
BL96953_cuf2         -          KOG1216              -            1.1e-17   64.0  24.2   1.2e-17   63.8  24.2   1.1   1   0   0   1   1   1   1 -
BL10466_cuf1         -          KOG1216              -            2.7e-17   62.6   0.0     3e-17   62.5   0.0   1.0   1   0   0   1   1   1   1 -
BL29774_evm0         -          KOG1216              -            3.8e-16   58.9  88.8   4.6e-09   35.4  14.2   6.1   1   1   3   5   5   3   3 -
BL00829_cuf3         -          KOG1216              -            1.9e-15   56.5   0.0   2.1e-15   56.4   0.0   1.0   1   0   0   1   1   1   1 -
BL16930_evm0         -          KOG1216              -            8.9e-15   54.3   0.0     1e-14   54.1   0.0   1.0   1   0   0   1   1   1   1 -
BL96730_cuf3         -          KOG1216              -            1.8e-14   53.3  32.4   1.8e-14   53.3  32.4   6.2   1   1   3   6   6   4   3 -
BL96262_cuf1         -          KOG1216              -            3.6e-14   52.3  41.6   9.3e-08   31.1  16.4   2.1   1   1   1   2   2   2   2 -
BL21015_cuf0         -          KOG1216              -            7.1e-14   51.3   0.0   7.1e-14   51.3   0.0   2.0   3   0   0   3   3   1   1 -
