#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
ENSCINP00000013676   -          KOG0200              -                  0 1427.2 107.7   2.3e-17   62.4   0.0  68.1  54   5   8  64  64  64  56 -
ENSCINP00000015858   -          KOG0200              -                  0 1246.3   0.0   1.7e-24   85.9   0.0  37.0   6   6  20  32  32  32  31 -
ENSCINP00000001598   -          KOG0200              -           1.4e-218  727.1   0.0  1.8e-218  726.7   0.0   1.1   1   0   0   1   1   1   1 -
ENSCINP00000007171   -          KOG0200              -           7.4e-107  358.0   6.3   3.9e-59  200.4   0.0   4.8   2   1   3   5   5   5   4 -
ENSCINP00000035628   -          KOG0200              -            1.1e-70  238.5   0.1   1.4e-70  238.2   0.1   1.0   1   0   0   1   1   1   1 -
ENSCINP00000026874   -          KOG0200              -            2.9e-66  223.9   0.0   1.1e-64  218.8   0.0   3.1   1   1   0   1   1   1   1 -
ENSCINP00000006691   -          KOG0200              -            1.1e-65  222.0   0.0   7.3e-65  219.3   0.0   1.8   1   1   0   1   1   1   1 -
ENSCINP00000031277   -          KOG0200              -            3.2e-65  220.4   0.0   5.9e-64  216.3   0.0   1.9   1   1   1   2   2   2   1 -
ENSCINP00000019224   -          KOG0200              -            5.5e-65  219.7   0.1   6.8e-64  216.1   0.1   2.2   1   1   0   1   1   1   1 -
ENSCINP00000012004   -          KOG0200              -            7.6e-62  209.3   0.0   7.3e-61  206.1   0.0   1.9   1   1   0   1   1   1   1 -
ENSCINP00000013382   -          KOG0200              -            1.3e-61  208.6   0.0     2e-51  174.9   0.0   2.2   2   0   0   2   2   2   2 -
ENSCINP00000011940   -          KOG0200              -            1.5e-60  205.1   0.0     2e-59  201.3   0.0   2.0   1   1   0   1   1   1   1 -
ENSCINP00000029071   -          KOG0200              -            1.8e-59  201.5   0.0   2.3e-58  197.8   0.0   1.9   1   1   0   1   1   1   1 -
ENSCINP00000018233   -          KOG0200              -            1.5e-58  198.5   0.0   7.8e-58  196.1   0.0   1.9   1   1   0   1   1   1   1 -
ENSCINP00000031420   -          KOG0200              -            4.5e-58  196.8   0.0   6.5e-57  193.0   0.0   2.0   1   1   0   1   1   1   1 -
ENSCINP00000023911   -          KOG0200              -            3.1e-57  194.1   0.0   1.2e-55  188.9   0.0   2.1   1   1   0   1   1   1   1 -
ENSCINP00000013966   -          KOG0200              -            3.8e-57  193.8   0.0   3.3e-56  190.7   0.0   2.0   1   1   0   1   1   1   1 -
ENSCINP00000007054   -          KOG0200              -            9.1e-56  189.2   0.0   7.9e-55  186.1   0.0   1.9   1   1   0   1   1   1   1 -
ENSCINP00000014369   -          KOG0200              -            9.6e-54  182.5   0.0   4.7e-19   68.0   0.0   4.1   2   1   2   4   4   4   4 -
ENSCINP00000017456   -          KOG0200              -            3.8e-53  180.6   0.0   4.4e-52  177.1   0.0   1.9   1   1   0   1   1   1   1 -
ENSCINP00000004763   -          KOG0200              -            1.2e-52  178.9   0.0   6.9e-52  176.4   0.0   1.8   1   1   0   1   1   1   1 -
ENSCINP00000014701   -          KOG0200              -            3.2e-52  177.5   0.0     2e-51  174.9   0.0   1.9   1   1   0   1   1   1   1 -
ENSCINP00000002343   -          KOG0200              -            7.7e-52  176.2   0.0     6e-51  173.3   0.0   2.2   1   1   0   1   1   1   1 -
ENSCINP00000020254   -          KOG0200              -            1.2e-51  175.6   0.0   9.4e-51  172.7   0.0   1.8   1   1   0   1   1   1   1 -
ENSCINP00000007661   -          KOG0200              -            1.3e-51  175.5   0.0   8.9e-51  172.7   0.0   2.1   2   1   0   2   2   1   1 -
ENSCINP00000010889   -          KOG0200              -            1.3e-51  175.5   0.0   6.6e-45  153.4   0.0   2.6   1   1   0   2   2   2   2 -
ENSCINP00000008019   -          KOG0200              -            1.4e-51  175.4   0.0     9e-51  172.7   0.0   1.8   1   1   0   1   1   1   1 -
ENSCINP00000025213   -          KOG0200              -              2e-51  174.9   0.0     2e-50  171.6   0.0   2.0   1   1   0   1   1   1   1 -
ENSCINP00000002487   -          KOG0200              -            2.6e-50  171.2   0.0   8.7e-49  166.2   0.0   2.7   1   1   0   1   1   1   1 -
ENSCINP00000023002   -          KOG0200              -            2.4e-49  168.0   0.0   1.1e-38  132.8   0.0   2.0   1   1   1   2   2   2   2 -
