#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
FBpp0304920          -          KOG0200              -                  0 1078.5  38.5   1.4e-16   59.5   0.0  47.5  13   9  24  44  44  44  43 -
FBpp0075520          -          KOG0200              -           1.3e-252  839.2   0.0  4.2e-225  748.4   0.0   2.1   1   1   1   2   2   2   2 -
FBpp0290554          -          KOG0200              -             3e-233  775.3  28.9   1.2e-16   59.7   0.0  32.9  23   7   8  32  32  32  29 -
FBpp0082970          -          KOG0200              -           2.9e-225  748.9   0.0  3.7e-225  748.5   0.0   1.0   1   0   0   1   1   1   1 -
FBpp0307635          -          KOG0200              -           7.4e-148  493.2   0.1   8.5e-16   56.9   0.0  20.6   6   4  13  21  21  21  17 -
FBpp0112375          -          KOG0200              -           1.4e-140  469.2   9.3   1.5e-16   59.4   0.0  17.4   5   3   9  16  16  15  14 -
FBpp0291358          -          KOG0200              -           4.3e-108  361.8   7.6   9.1e-55  185.7   0.1   6.2   5   1   1   6   6   6   4 -
FBpp0084248          -          KOG0200              -            4.2e-96  322.2   0.3   9.7e-96  321.0   0.0   1.6   2   0   0   2   2   1   1 -
FBpp0081023          -          KOG0200              -            2.1e-81  273.6   0.0   3.5e-81  272.9   0.0   1.2   1   0   0   1   1   1   1 -
FBpp0087135          -          KOG0200              -            1.1e-75  254.8   0.0   4.1e-36  124.0   0.0   5.3   4   1   1   5   5   5   5 -
FBpp0303166          -          KOG0200              -            2.2e-73  247.2   1.4   1.1e-72  244.8   0.0   2.4   2   1   0   2   2   2   1 -
FBpp0304429          -          KOG0200              -            5.1e-73  246.0   2.5   1.3e-17   62.9   0.0   7.7   3   2   2   7   7   7   7 -
FBpp0112952          -          KOG0200              -            2.4e-72  243.7   0.1   1.2e-42  145.6   0.0   2.4   2   1   0   2   2   2   2 -
FBpp0088012          -          KOG0200              -              7e-72  242.2   1.0   4.7e-52  176.7   0.0   2.9   3   0   0   3   3   3   2 -
FBpp0304259          -          KOG0200              -            1.1e-70  238.3   0.0     3e-70  236.8   0.0   1.5   1   1   0   1   1   1   1 -
FBpp0288670          -          KOG0200              -            5.3e-70  236.0   1.1   1.1e-69  234.9   0.0   1.8   2   0   0   2   2   1   1 -
FBpp0297683          -          KOG0200              -            2.8e-69  233.6   1.1   3.4e-18   64.8   0.0   7.0   2   1   4   7   7   6   6 -
FBpp0305767          -          KOG0200              -            1.6e-66  224.5   0.7   2.3e-18   65.4   0.0   7.1   2   1   5   7   7   7   6 -
FBpp0307255          -          KOG0200              -            2.6e-66  223.8   0.0   5.5e-66  222.7   0.0   1.4   1   0   0   1   1   1   1 -
FBpp0086841          -          KOG0200              -            4.9e-66  222.9   0.0   7.3e-66  222.3   0.0   1.1   1   0   0   1   1   1   1 -
FBpp0079568          -          KOG0200              -            1.9e-65  220.9   0.0   3.4e-65  220.1   0.0   1.4   1   0   0   1   1   1   1 -
FBpp0310444          -          KOG0200              -            2.7e-64  217.2   0.0   2.2e-63  214.2   0.0   1.9   1   1   0   1   1   1   1 -
FBpp0303244          -          KOG0200              -            1.2e-63  215.0   0.0   8.3e-18   63.6   0.0   6.6   2   1   4   6   6   6   5 -
FBpp0111749          -          KOG0200              -              8e-63  212.3   0.1   2.9e-62  210.4   0.1   1.7   1   1   0   1   1   1   1 -
FBpp0073249          -          KOG0200              -            2.1e-59  201.0   0.0   3.6e-59  200.2   0.0   1.3   1   0   0   1   1   1   1 -
FBpp0307427          -          KOG0200              -            1.4e-58  198.3   0.0   5.2e-58  196.4   0.0   1.8   1   1   0   1   1   1   1 -
FBpp0073179          -          KOG0200              -            1.5e-58  198.2   0.0   4.6e-58  196.6   0.0   1.6   1   1   0   1   1   1   1 -
FBpp0088153          -          KOG0200              -            1.8e-57  194.6   0.0     2e-56  191.1   0.0   2.0   1   1   0   1   1   1   1 -
FBpp0303369          -          KOG0200              -            6.5e-57  192.8   0.0   3.8e-12   44.9   0.0   8.6   4   2   4   8   8   8   8 -
FBpp0113097          -          KOG0200              -            1.7e-53  181.5   0.0   6.7e-53  179.5   0.0   1.9   1   1   0   1   1   1   1 -
FBpp0081530          -          KOG0200              -            2.3e-53  181.0   0.0   1.5e-52  178.3   0.0   2.1   1   1   0   1   1   1   1 -
FBpp0297081          -          KOG0200              -            1.3e-51  175.3   0.3   5.3e-12   44.4   0.1   5.4   1   1   4   5   5   5   5 -
FBpp0303020          -          KOG0200              -            3.4e-51  173.9   0.0   5.2e-22   77.5   0.0   3.3   1   1   2   3   3   3   3 -
