#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
ENSDARP00000148257   -          NOG149771            -                  0 1029.7  85.2         0 1029.4  84.4   1.6   1   1   0   1   1   1   1 -
ENSDARP00000153604   -          NOG149771            -                  0 1024.5  75.7         0 1024.2  75.7   1.1   1   0   0   1   1   1   1 -
ENSDARP00000120705   -          NOG149771            -                  0 1015.9  98.6         0 1011.8  98.6   2.2   1   1   0   1   1   1   1 -
ENSDARP00000124912   -          NOG149771            -                  0 1011.8  86.2         0 1011.2  85.8   1.5   1   1   0   1   1   1   1 -
ENSDARP00000093348   -          NOG149771            -             1e-300  999.3  83.8  3.6e-300  997.5  83.3   1.8   1   1   0   1   1   1   1 -
ENSDARP00000142363   -          NOG149771            -           5.4e-300  996.9  78.1  7.9e-300  996.4  78.1   1.2   1   0   0   1   1   1   1 -
ENSDARP00000129945   -          NOG149771            -           5.5e-298  990.3  88.6  1.4e-297  989.0  87.1   1.8   1   1   0   1   1   1   1 -
ENSDARP00000057304   -          NOG149771            -           8.2e-298  989.7  59.8  1.1e-297  989.3  59.8   1.2   1   0   0   1   1   1   1 -
ENSDARP00000132464   -          NOG149771            -           3.1e-290  964.7  51.4    4e-290  964.3  51.4   1.2   1   0   0   1   1   1   1 -
ENSDARP00000140943   -          NOG149771            -            0.00021   20.8  48.6     0.021   14.2   7.2   4.3   2   1   2   4   4   4   4 -
ENSDARP00000068420   -          NOG149771            -             0.0016   17.9  20.8    0.0016   17.9  20.8  15.5   1   1  12  13  13   9   4 -
ENSDARP00000108281   -          NOG149771            -             0.0031   17.0   6.9    0.0031   17.0   6.9  21.3   1   1  18  19  19  19   9 -
ENSDARP00000128577   -          NOG149771            -             0.0045   16.4  15.9    0.0055   16.1  15.9   1.1   1   0   0   1   1   1   1 -
ENSDARP00000008197   -          NOG149771            -             0.0051   16.3  25.0    0.0051   16.3  25.0   7.7   1   1   6   7   7   4   2 -
ENSDARP00000111598   -          NOG149771            -              0.011   15.2  11.1     0.011   15.2  11.1   5.1   1   1   4   5   5   2   0 -
ENSDARP00000055323   -          NOG149771            -              0.012   15.1   7.3     0.016   14.7   7.3   1.1   1   0   0   1   1   1   0 -
ENSDARP00000153669   -          NOG149771            -              0.012   15.1   7.3     0.016   14.7   7.3   1.1   1   0   0   1   1   1   0 -
ENSDARP00000137646   -          NOG149771            -              0.012   15.0   0.2     0.019   14.4   0.2   1.2   1   0   0   1   1   1   0 -
ENSDARP00000146189   -          NOG149771            -              0.026   13.9  46.1       0.3   10.4  16.3   2.2   1   1   1   2   2   2   0 -
ENSDARP00000101251   -          NOG149771            -              0.039   13.3  15.3      0.06   12.7  15.3   1.3   1   0   0   1   1   1   0 -
ENSDARP00000014501   -          NOG149771            -               0.05   13.0  34.4      0.59    9.4  34.0   2.1   1   1   1   2   2   2   0 -
ENSDARP00000134804   -          NOG149771            -              0.099   12.0  38.0     0.046   13.1   1.7   3.0   1   1   2   3   3   3   0 -
ENSDARP00000130748   -          NOG149771            -               0.16   11.3   1.2      0.21   10.9   1.2   1.2   1   0   0   1   1   1   0 -
ENSDARP00000148759   -          NOG149771            -               0.19   11.1  23.1      0.86    8.9  22.5   2.1   1   1   0   1   1   1   0 -
ENSDARP00000090249   -          NOG149771            -               0.42    9.9  52.5     0.017   14.5   7.8   4.7   2   1   2   4   4   4   0 -
ENSDARP00000138964   -          NOG149771            -               0.47    9.8   0.9      0.72    9.1   0.9   1.3   1   0   0   1   1   1   0 -
ENSDARP00000137968   -          NOG149771            -               0.58    9.5   1.2      0.72    9.2   1.2   1.1   1   0   0   1   1   1   0 -
ENSDARP00000134125   -          NOG149771            -               0.64    9.3   1.5      0.89    8.9   1.5   1.2   1   0   0   1   1   1   0 -
ENSDARP00000130613   -          NOG149771            -               0.89    8.8   1.6       1.2    8.4   1.6   1.2   1   0   0   1   1   1   0 -
ENSDARP00000132813   -          NOG149771            -               0.94    8.8   1.1       1.3    8.3   1.1   1.1   1   0   0   1   1   1   0 -
#
# Program:         hmmsearch
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SEARCH
# Query file:      ../../profiles/RefOG037.strict.hmm
# Target file:     Danio_rerio.GRCz11.pep.all.fa
# Option settings: hmmsearch -o /dev/null --tblout ../../hmmer_results/Ref037.Danio_rerio.GRCz11.pep.all.fa.txt --noali -E 1 --max --cpu 1 ../../profiles/RefOG037.strict.hmm Danio_rerio.GRCz11.pep.all.fa 
# Current dir:     /data/orig/projects/OrthoFinder/benchmarks/Orthobench/v2/proteomes/primary_transcripts
# Date:            Wed Mar 11 19:09:50 2020
# [ok]
