#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
FBpp0310026          -          KOG1215              -           1.3e-171  571.6 581.1   5.3e-26   91.0  45.5  19.0   4   4  11  16  16  16  15 -
FBpp0311204          -          KOG1215              -           2.6e-117  392.4 564.4   3.4e-25   88.4  47.0  16.7   5   5  11  16  16  14  14 -
FBpp0309655          -          KOG1215              -            3.3e-92  309.5 340.4   3.1e-21   75.3  39.5  13.2   4   1   9  13  13  11  10 -
FBpp0073715          -          KOG1215              -            9.2e-59  199.1 204.4   2.9e-16   58.9  39.5   6.8   2   2   4   6   6   6   5 -
FBpp0290685          -          KOG1215              -            6.7e-55  186.4 147.4   2.1e-25   89.1  52.3   7.4   1   1   5   6   6   6   6 -
FBpp0112298          -          KOG1215              -              5e-45  153.8 126.8   9.7e-19   67.0  37.2   6.5   1   1   5   6   6   6   5 -
FBpp0076693          -          KOG1215              -            8.2e-39  133.3 103.7   7.7e-17   60.8  29.2   5.8   3   1   1   5   5   5   4 -
FBpp0073931          -          KOG1215              -              7e-38  130.2 108.3   6.2e-16   57.8  60.0   4.6   1   1   2   3   3   3   3 -
FBpp0086821          -          KOG1215              -            3.4e-26   91.6   0.0   1.8e-25   89.3   0.0   2.0   1   1   0   1   1   1   1 -
FBpp0076333          -          KOG1215              -            2.8e-21   75.4  29.9   2.8e-21   75.4  29.9   2.9   2   1   0   2   2   2   1 -
FBpp0082798          -          KOG1215              -              5e-17   61.4  44.6     8e-08   31.0  16.1   4.0   1   1   3   4   4   4   4 -
FBpp0086768          -          KOG1215              -              9e-17   60.5  23.8   1.2e-16   60.1  23.8   1.1   1   0   0   1   1   1   1 -
FBpp0307926          -          KOG1215              -            4.4e-15   55.0   2.7   5.8e-15   54.6   2.7   1.3   1   0   0   1   1   1   1 -
FBpp0079096          -          KOG1215              -            2.6e-13   49.1  45.5     4e-07   28.7  11.2   3.1   1   1   1   3   3   3   3 -
FBpp0071118          -          KOG1215              -            4.1e-13   48.5   0.0   7.9e-13   47.5   0.0   1.4   1   1   0   1   1   1   1 -
FBpp0311236          -          KOG1215              -            1.1e-12   47.1   6.3   1.1e-12   47.1   6.3   3.2   3   1   0   3   3   2   1 -
FBpp0077926          -          KOG1215              -            9.7e-08   30.7  18.2   1.5e-07   30.1   1.7   2.6   3   0   0   3   3   3   2 -
FBpp0303609          -          KOG1215              -            1.3e-07   30.3   7.2   0.00038   18.9   0.6   2.2   2   0   0   2   2   2   2 -
