#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
WBGene00001863.1     -          KOG4475              -                  0 6639.4  61.5         0 5593.6  39.5   4.2   1   1   3   4   4   4   4 -
WBGene00006820.1     -          KOG4475              -                  0 2092.9 130.9    2e-203  677.9  33.0  14.2   4   2   7  13  13  13  13 -
WBGene00006436.1     -          KOG4475              -                  0 1373.4 104.7   1.3e-64  217.2   0.2  20.3  14   5   3  20  20  20  20 -
WBGene00004130.1     -          KOG4475              -           4.9e-269  895.7   0.0   2.2e-31  106.9   0.0  23.4  15   6   3  20  20  20  20 -
WBGene00006759.1     -          KOG4475              -           4.3e-245  816.2  21.8   2.4e-32  110.0   6.3  19.4  15   4   2  19  19  19  19 -
WBGene00006787.1     -          KOG4475              -           3.1e-137  458.2  14.7   3.6e-61  205.7   1.4   6.2   3   2   2   6   6   5   5 -
WBGene00004729.1     -          KOG4475              -            5.8e-82  274.7   0.4   2.9e-45  152.9   0.1   2.3   1   1   1   2   2   2   2 -
WBGene00004732.1     -          KOG4475              -            2.2e-77  259.5   0.0     2e-41  140.2   0.0   2.0   1   1   1   2   2   2   2 -
WBGene00017657.1     -          KOG4475              -            3.3e-69  232.4   5.3   8.5e-25   85.0   0.1   4.0   3   1   0   4   4   4   4 -
WBGene00001403.1     -          KOG4475              -            1.2e-62  210.6  98.1   6.3e-46  155.1  43.9   3.4   1   1   1   3   3   3   3 -
WBGene00007750.1     -          KOG4475              -            1.6e-61  206.8   6.5   1.6e-60  203.6   6.4   2.3   1   1   0   1   1   1   1 -
WBGene00017184.1     -          KOG4475              -            1.7e-56  190.2   2.8   4.1e-56  188.9   2.8   1.5   1   1   0   1   1   1   1 -
WBGene00002243.1     -          KOG4475              -            1.5e-53  180.4   0.0     2e-39  133.6   0.0   2.4   1   1   1   2   2   2   2 -
WBGene00016354.1     -          KOG4475              -            6.2e-52  175.1   0.0   7.6e-41  138.2   0.0   2.4   1   1   0   2   2   2   2 -
WBGene00018215.1     -          KOG4475              -            1.4e-50  170.5   7.0   4.3e-30  102.6   5.0   2.5   1   1   1   2   2   2   2 -
WBGene00020130.1     -          KOG4475              -            2.4e-50  169.8   1.0   3.4e-50  169.3   1.0   1.1   1   0   0   1   1   1   1 -
WBGene00020649.1     -          KOG4475              -            9.3e-48  161.2   0.0   4.7e-26   89.2   0.0   1.8   1   1   1   2   2   2   2 -
WBGene00006776.1     -          KOG4475              -            1.6e-46  157.1   1.5   1.3e-25   87.7   0.1   2.0   1   1   1   2   2   2   2 -
WBGene00004371.1     -          KOG4475              -              1e-39  134.5   0.7   4.9e-19   65.9   0.0   3.3   2   2   0   3   3   3   3 -
WBGene00000998.1     -          KOG4475              -            1.4e-39  134.1  48.0     4e-15   52.9   0.2   6.8   8   0   0   8   8   7   6 -
WBGene00022816.1     -          KOG4475              -            6.8e-38  128.4 363.9   3.7e-14   49.7  35.0   8.7   4   3   4   8   8   7   7 -
WBGene00004256.1     -          KOG4475              -            2.1e-36  123.5   0.0   2.1e-22   77.0   0.0   2.0   1   1   1   2   2   2   2 -
WBGene00004372.1     -          KOG4475              -            8.6e-36  121.5   0.3   1.1e-35  121.1   0.3   1.0   1   0   0   1   1   1   1 -
WBGene00006365.1     -          KOG4475              -            1.2e-34  117.7   0.0     4e-13   46.2   0.0   3.0   2   1   1   3   3   3   3 -
WBGene00004215.1     -          KOG4475              -            1.5e-33  114.0   0.0   2.2e-33  113.5   0.0   1.1   1   0   0   1   1   1   1 -
WBGene00004257.1     -          KOG4475              -            6.5e-32  108.6   0.8   8.5e-32  108.2   0.8   1.0   1   0   0   1   1   1   1 -
WBGene00006942.1     -          KOG4475              -            1.7e-31  107.2   0.4   2.2e-31  106.8   0.4   1.0   1   0   0   1   1   1   1 -
WBGene00001184.1     -          KOG4475              -            6.4e-31  105.3   0.2   1.7e-20   70.7   0.0   2.8   2   1   0   2   2   2   2 -
WBGene00004369.1     -          KOG4475              -            5.3e-28   95.6  11.4   9.8e-12   41.6   0.5   3.1   1   1   3   4   4   4   4 -
