#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
ENSCINP00000015858   -          KOG4475              -                  0 4587.1   0.0         0 2253.4  13.4   6.0   2   1   3   5   5   5   5 -
ENSCINP00000013676   -          KOG4475              -                  0 2269.2  21.9     3e-51  172.5  23.7  46.8  33  12   4  42  42  42  42 -
ENSCINP00000010385   -          KOG4475              -                  0 1159.4 891.9   8.5e-32  107.9  47.1  15.3   2   2  15  17  17  17  17 -
ENSCINP00000018393   -          KOG4475              -           7.8e-219  728.8 718.4   3.6e-27   92.6  58.5  14.8   1   1  14  15  15  15  15 -
ENSCINP00000017499   -          KOG4475              -           7.6e-155  516.4 755.2   7.7e-25   84.8  68.1  19.5   1   1  12  15  15  15  13 -
ENSCINP00000010391   -          KOG4475              -           7.7e-111  370.3 271.9   7.3e-32  108.2  53.1   5.1   1   1   4   5   5   5   5 -
ENSCINP00000014002   -          KOG4475              -            1.4e-83  279.8 292.5   5.3e-26   88.7  58.0   5.7   1   1   5   6   6   6   6 -
ENSCINP00000010389   -          KOG4475              -            6.2e-83  277.7 231.8   1.2e-24   84.2  54.5   5.3   1   1   4   5   5   5   5 -
ENSCINP00000016246   -          KOG4475              -            5.3e-74  248.0 116.1   9.4e-49  164.2  33.0   4.0   1   1   3   4   4   4   4 -
ENSCINP00000026881   -          KOG4475              -            7.6e-73  244.2 202.7   5.9e-28   95.2  51.8   5.3   1   1   4   5   5   5   5 -
ENSCINP00000014369   -          KOG4475              -            4.5e-70  235.0   0.0   4.4e-26   89.0   0.0   4.0   1   1   0   3   3   3   3 -
ENSCINP00000034774   -          KOG4475              -            1.1e-57  193.9 208.6   6.6e-14   48.5  20.4   6.3   1   1   5   6   6   6   6 -
