#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
ENSTNIP00000022587   -          KOG4475              -                  0 1640.6  17.5   1.3e-21   74.3   0.0  48.3  45   5   1  48  48  48  48 -
ENSTNIP00000021286   -          KOG4475              -                  0 1244.5   0.0  2.7e-261  870.0   0.0   2.8   1   1   1   2   2   2   2 -
ENSTNIP00000016407   -          KOG4475              -                  0 1126.8   0.1  8.1e-215  715.7   0.0   2.0   1   1   1   2   2   2   2 -
ENSTNIP00000018604   -          KOG4475              -             3e-283  942.8  54.6   5.8e-71  238.2  13.2  12.0   4   1   5   9   9   9   9 -
ENSTNIP00000001906   -          KOG4475              -           2.1e-270  900.2  30.5   3.5e-91  305.3   3.3   6.0   2   1   3   5   5   5   5 -
ENSTNIP00000016408   -          KOG4475              -           4.2e-245  816.2  26.7    7e-176  586.4   7.1   2.1   2   0   0   2   2   2   2 -
ENSTNIP00000022585   -          KOG4475              -           8.3e-243  808.6  24.8     2e-43  146.7  15.5  14.0   8   2   5  14  14  14  14 -
ENSTNIP00000003762   -          KOG4475              -           2.7e-207  690.7 665.4   2.3e-27   93.4  50.9  19.2   1   1  14  18  18  18  17 -
ENSTNIP00000001525   -          KOG4475              -           1.7e-202  674.7 700.2   3.7e-32  109.4  46.3  18.8   1   1  19  20  20  19  18 -
ENSTNIP00000010516   -          KOG4475              -             2e-197  657.9   5.8  1.1e-132  443.0   0.1   3.1   2   1   1   3   3   3   3 -
ENSTNIP00000017515   -          KOG4475              -           1.1e-162  542.6  12.2   1.2e-58  197.3   0.3   5.0   2   1   3   5   5   5   5 -
ENSTNIP00000020233   -          KOG4475              -           3.8e-159  530.9 436.1   5.3e-26   88.9  45.9  10.1   1   1   8   9   9   9   9 -
ENSTNIP00000015396   -          KOG4475              -           1.6e-149  499.0  29.9   8.4e-57  191.2   4.5   9.5   7   3   2  10  10   7   7 -
ENSTNIP00000019551   -          KOG4475              -           1.6e-134  449.2   0.8   3.3e-95  318.7   0.0   5.5   4   1   0   4   4   4   4 -
ENSTNIP00000005547   -          KOG4475              -             3e-126  421.7   7.7   3.4e-68  229.0   1.1   2.3   1   1   1   2   2   2   2 -
ENSTNIP00000003097   -          KOG4475              -           9.1e-123  410.1   0.2   6.3e-67  224.8   3.1   3.0   2   1   1   3   3   3   3 -
ENSTNIP00000009546   -          KOG4475              -             2e-121  405.7   1.9  9.6e-106  353.6   0.2   2.5   2   1   0   2   2   2   2 -
ENSTNIP00000005548   -          KOG4475              -           3.7e-121  404.8  15.9   9.1e-39  131.3   1.0   6.2   5   1   1   6   6   6   6 -
ENSTNIP00000007082   -          KOG4475              -           1.5e-119  399.4  16.9   8.2e-13   45.2   0.2  14.0  13   1   0  14  14  14  14 -
ENSTNIP00000010586   -          KOG4475              -           7.6e-112  373.9   1.1   6.5e-95  317.7   0.1   3.4   2   1   0   2   2   2   2 -
ENSTNIP00000011176   -          KOG4475              -             1e-104  350.2   1.9   1.4e-57  193.7   0.3   5.5   4   1   0   4   4   4   4 -
ENSTNIP00000016415   -          KOG4475              -              1e-96  323.6   0.0   1.8e-64  216.7   0.0   2.0   1   1   1   2   2   2   2 -
ENSTNIP00000007637   -          KOG4475              -            1.8e-94  316.2   2.2   1.5e-79  266.7   0.3   2.8   2   1   0   2   2   2   2 -
ENSTNIP00000013689   -          KOG4475              -            9.1e-92  307.2   0.1   2.5e-49  166.4   0.2   2.9   1   1   2   3   3   3   3 -
ENSTNIP00000003627   -          KOG4475              -            4.5e-87  291.6   0.0   1.8e-39  133.6   0.1   3.0   2   1   1   3   3   3   3 -
ENSTNIP00000019270   -          KOG4475              -            1.4e-85  286.7   0.0   8.3e-52  174.6   0.1   2.7   1   1   1   2   2   2   2 -
ENSTNIP00000012271   -          KOG4475              -            3.4e-84  282.1  10.7     1e-57  194.2   2.4   1.7   1   1   1   2   2   2   2 -
ENSTNIP00000002162   -          KOG4475              -            3.7e-84  282.0   0.1   1.5e-34  117.3   0.0   3.2   1   1   2   3   3   3   3 -
ENSTNIP00000001880   -          KOG4475              -            2.4e-83  279.3   0.1   4.9e-63  211.9   0.0   2.1   2   0   0   2   2   2   2 -
ENSTNIP00000001079   -          KOG4475              -            2.7e-82  275.8   3.8   6.9e-57  191.5   0.7   2.0   1   1   1   2   2   2   2 -
ENSTNIP00000021683   -          KOG4475              -            2.9e-81  272.4   0.5   4.1e-60  202.2   0.7   2.6   2   1   0   2   2   2   2 -
ENSTNIP00000021636   -          KOG4475              -            2.4e-80  269.3   6.8   1.2e-49  167.4   0.9   2.2   1   1   1   2   2   2   2 -
ENSTNIP00000017470   -          KOG4475              -            1.5e-76  256.7   0.6     2e-76  256.3   0.6   1.0   1   0   0   1   1   1   1 -
ENSTNIP00000010154   -          KOG4475              -            1.9e-76  256.4   0.0   2.8e-76  255.8   0.0   1.1   1   0   0   1   1   1   1 -
ENSTNIP00000008869   -          KOG4475              -            2.8e-76  255.8   0.0   8.5e-76  254.2   0.0   1.7   1   1   0   1   1   1   1 -
ENSTNIP00000015523   -          KOG4475              -            5.3e-76  254.9   0.1   6.4e-76  254.6   0.1   1.1   1   0   0   1   1   1   1 -
ENSTNIP00000003590   -          KOG4475              -              2e-75  253.0   0.0   2.4e-55  186.3   0.1   2.1   1   1   0   2   2   2   2 -
ENSTNIP00000018238   -          KOG4475              -            1.7e-74  249.9   0.0   2.4e-55  186.4   0.0   2.0   1   1   0   2   2   2   2 -
ENSTNIP00000006080   -          KOG4475              -            1.5e-73  246.8   0.0   1.6e-53  180.2   0.0   2.1   1   1   1   2   2   2   2 -
ENSTNIP00000013330   -          KOG4475              -            1.9e-72  243.1   0.6   2.7e-72  242.6   0.6   1.0   1   0   0   1   1   1   1 -
ENSTNIP00000017207   -          KOG4475              -            3.5e-72  242.2   0.0   8.5e-50  167.9   0.0   2.3   1   1   1   2   2   2   2 -
ENSTNIP00000019343   -          KOG4475              -            5.4e-72  241.6   0.2   4.7e-39  132.3   0.0   2.0   1   1   1   2   2   2   2 -
ENSTNIP00000018138   -          KOG4475              -            1.3e-71  240.4   0.5   6.4e-54  181.6   0.1   2.2   1   1   0   2   2   2   2 -
ENSTNIP00000019080   -          KOG4475              -            1.8e-71  239.9   0.0   4.6e-60  202.0   0.0   2.1   1   1   1   2   2   2   2 -
ENSTNIP00000006450   -          KOG4475              -            5.2e-71  238.3   0.1   2.1e-51  173.3   0.1   2.0   1   1   1   2   2   2   2 -
ENSTNIP00000005153   -          KOG4475              -              2e-70  236.4   0.0   1.6e-26   90.7   0.0   2.8   1   1   2   3   3   3   3 -
ENSTNIP00000004457   -          KOG4475              -            2.7e-70  236.0   0.7   3.8e-70  235.5   0.7   1.1   1   0   0   1   1   1   1 -
ENSTNIP00000000568   -          KOG4475              -            6.5e-70  234.7   0.0   3.8e-60  202.3   0.0   2.4   1   1   1   2   2   2   2 -
ENSTNIP00000018239   -          KOG4475              -              1e-69  234.0   0.0   4.1e-68  228.7   0.0   2.0   1   1   0   1   1   1   1 -
ENSTNIP00000001817   -          KOG4475              -            1.2e-68  230.5   0.0   4.3e-51  172.2   0.0   2.0   1   1   0   2   2   2   2 -
ENSTNIP00000002215   -          KOG4475              -            1.8e-68  229.9   1.0   7.8e-27   91.7   0.0   4.1   4   0   0   4   4   4   4 -
ENSTNIP00000003830   -          KOG4475              -            1.5e-67  226.8 143.0   4.5e-24   82.5  10.7   6.0   2   1   4   6   6   6   6 -
ENSTNIP00000000678   -          KOG4475              -            5.1e-67  225.1  19.8   1.8e-32  110.4  10.8   3.4   2   1   1   3   3   3   3 -
ENSTNIP00000017281   -          KOG4475              -            5.2e-67  225.0 127.5   4.9e-27   92.4  39.7   4.6   1   1   4   5   5   5   4 -
ENSTNIP00000008868   -          KOG4475              -            6.2e-67  224.8   0.0   5.1e-65  218.4   0.0   1.9   1   1   0   1   1   1   1 -
ENSTNIP00000002443   -          KOG4475              -            5.8e-66  221.6 208.4   8.1e-29   98.3  43.6   4.2   1   1   3   4   4   4   4 -
