#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
ENSMODP00000036819   -          KOG3544              -                  0 1676.2 542.3         0 1668.9 542.3   2.0   1   1   0   1   1   1   1 -
ENSMODP00000026508   -          KOG3544              -                  0 1575.8 502.8  2.1e-301 1002.6 467.4   2.0   1   1   1   2   2   2   2 -
ENSMODP00000054906   -          KOG3544              -                  0 1498.1 345.0         0 1410.7 295.0   2.0   1   1   1   2   2   2   2 -
ENSMODP00000014496   -          KOG3544              -           3.4e-186  620.7  29.4  3.9e-186  620.5  29.4   1.0   1   0   0   1   1   1   1 -
ENSMODP00000004020   -          KOG3544              -           2.3e-171  571.6 532.8    7e-128  427.4 381.6   2.3   1   1   1   2   2   2   2 -
ENSMODP00000014976   -          KOG3544              -             1e-167  559.5 509.2   8.8e-88  294.5 259.0   2.4   1   1   1   2   2   2   2 -
ENSMODP00000013550   -          KOG3544              -           1.9e-161  538.7 549.5   2.6e-97  326.1 316.4   2.3   1   1   1   2   2   2   2 -
ENSMODP00000014217   -          KOG3544              -           9.6e-135  450.2 401.6   5.3e-81  272.1 230.4   2.0   1   1   1   2   2   2   2 -
ENSMODP00000036892   -          KOG3544              -           1.1e-122  410.2 322.2   5.1e-85  285.4 220.4   1.9   1   1   1   2   2   2   2 -
ENSMODP00000045506   -          KOG3544              -           9.4e-122  407.1 336.2     2e-65  220.4 158.5   3.1   2   1   1   3   3   3   3 -
ENSMODP00000021973   -          KOG3544              -            5.1e-99  331.8 272.9   2.2e-83  279.9 210.4   2.3   1   1   1   2   2   2   2 -
ENSMODP00000023177   -          KOG3544              -            6.5e-97  324.8 247.6   5.9e-81  271.9 201.2   2.1   1   1   0   2   2   2   2 -
ENSMODP00000002148   -          KOG3544              -            2.1e-96  323.1 293.6   5.2e-70  235.6 219.8   1.8   1   1   0   1   1   1   1 -
ENSMODP00000025759   -          KOG3544              -            1.2e-81  274.2 205.3   4.7e-81  272.2 205.3   1.7   1   1   0   1   1   1   1 -
ENSMODP00000044625   -          KOG3544              -            8.8e-79  264.7 276.4   1.6e-63  214.2 207.7   2.0   1   1   1   2   2   2   2 -
ENSMODP00000022253   -          KOG3544              -            1.1e-77  261.1 188.7   1.7e-77  260.5 188.7   1.2   1   0   0   1   1   1   1 -
ENSMODP00000051716   -          KOG3544              -            4.1e-71  239.3 162.5   5.4e-71  238.9 162.5   1.1   1   0   0   1   1   1   1 -
ENSMODP00000020999   -          KOG3544              -            7.7e-69  231.7 181.9   5.2e-68  229.0 181.4   1.9   1   1   0   1   1   1   1 -
ENSMODP00000048142   -          KOG3544              -            6.7e-67  225.3 211.0   9.9e-46  155.2 133.7   2.1   1   1   0   1   1   1   1 -
ENSMODP00000038771   -          KOG3544              -            2.2e-61  207.0 173.7   2.5e-41  140.6  88.7   2.7   1   1   2   3   3   3   3 -
ENSMODP00000058858   -          KOG3544              -            5.4e-58  195.8 139.2   2.8e-49  166.9 115.2   2.0   1   1   1   2   2   2   2 -
ENSMODP00000000516   -          KOG3544              -            2.6e-49  167.0 105.3   3.6e-49  166.6 105.3   1.1   1   0   0   1   1   1   1 -
ENSMODP00000016529   -          KOG3544              -            4.8e-44  149.6 130.0   8.4e-26   89.1  74.4   2.5   1   1   1   2   2   2   2 -
ENSMODP00000020360   -          KOG3544              -            6.1e-41  139.3  93.2   8.5e-41  138.8  93.2   1.1   1   0   0   1   1   1   1 -
ENSMODP00000049302   -          KOG3544              -            9.9e-35  118.7 108.0   4.5e-34  116.5 107.9   1.6   1   1   0   1   1   1   1 -
ENSMODP00000018185   -          KOG3544              -            6.1e-33  112.8  70.3   8.2e-33  112.3  70.3   1.1   1   0   0   1   1   1   1 -
ENSMODP00000046454   -          KOG3544              -              1e-31  108.7  67.2   1.3e-31  108.3  67.2   1.0   1   0   0   1   1   1   1 -
ENSMODP00000049386   -          KOG3544              -            6.6e-28   96.1  73.8   6.6e-28   96.1  73.8   1.9   1   1   0   1   1   1   1 -
ENSMODP00000060168   -          KOG3544              -            2.3e-26   91.0  37.5   2.8e-26   90.7  37.5   1.0   1   0   0   1   1   1   1 -
ENSMODP00000026838   -          KOG3544              -            9.9e-26   88.9  58.4   1.3e-25   88.5  58.4   1.0   1   0   0   1   1   1   1 -
ENSMODP00000057619   -          KOG3544              -              1e-24   85.5  56.6   1.4e-24   85.1  56.6   1.0   1   0   0   1   1   1   1 -
ENSMODP00000023726   -          KOG3544              -            1.6e-24   84.8  96.0   1.6e-24   84.8  96.0   1.9   1   1   0   2   2   1   1 -
ENSMODP00000053058   -          KOG3544              -            2.1e-24   84.5  36.8   2.6e-24   84.1  36.8   1.0   1   0   0   1   1   1   1 -
ENSMODP00000044140   -          KOG3544              -            2.6e-23   80.9  47.6   3.6e-23   80.4  47.6   1.0   1   0   0   1   1   1   1 -
ENSMODP00000023416   -          KOG3544              -            1.2e-22   78.6  47.4   2.1e-22   77.8  47.4   1.3   1   1   0   1   1   1   1 -
ENSMODP00000009934   -          KOG3544              -            3.1e-19   67.3  31.5     4e-19   67.0  31.5   1.0   1   0   0   1   1   1   1 -
ENSMODP00000049450   -          KOG3544              -            9.4e-19   65.7  49.1   1.4e-18   65.1  49.1   1.1   1   0   0   1   1   1   1 -
ENSMODP00000056769   -          KOG3544              -            8.5e-18   62.6  32.8   1.1e-17   62.2  32.8   1.0   1   0   0   1   1   1   1 -
ENSMODP00000048093   -          KOG3544              -            5.5e-17   59.9  36.0   7.1e-17   59.5  36.0   1.0   1   0   0   1   1   1   1 -
ENSMODP00000020111   -          KOG3544              -            5.9e-17   59.8  20.1   8.1e-17   59.3  20.1   1.1   1   0   0   1   1   1   1 -
ENSMODP00000048712   -          KOG3544              -            2.6e-15   54.3  22.3   3.4e-15   54.0  22.3   1.0   1   0   0   1   1   1   1 -
ENSMODP00000050324   -          KOG3544              -            7.3e-15   52.8  24.2   9.3e-15   52.5  24.2   1.0   1   0   0   1   1   1   1 -
ENSMODP00000054308   -          KOG3544              -            3.3e-14   50.7  16.3   4.1e-14   50.4  16.3   1.0   1   0   0   1   1   1   1 -
ENSMODP00000001836   -          KOG3544              -            4.6e-14   50.2  16.6   5.7e-14   49.9  16.6   1.0   1   0   0   1   1   1   1 -
ENSMODP00000057185   -          KOG3544              -            1.2e-13   48.9  18.5   1.5e-13   48.5  18.5   1.1   1   0   0   1   1   1   1 -
