#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
ENSPTRP00000051765   -          NOG40200             -           3.9e-168  561.3 1274.6   8.1e-21   74.7  61.4  26.0   1   1  20  21  21  19  19 -
ENSPTRP00000002232   -          NOG40200             -            1.3e-63  216.1  55.3   1.3e-63  216.1  55.3  19.2   1   1  13  14  14   4   1 -
ENSPTRP00000075839   -          NOG40200             -            7.4e-30  104.6  80.6   7.4e-30  104.6  80.6  17.4   1   1  16  17  17   1   1 -
ENSPTRP00000002233   -          NOG40200             -            3.7e-28   99.0  55.9   5.1e-28   98.5  55.9   1.2   1   0   0   1   1   1   1 -
ENSPTRP00000002271   -          NOG40200             -            1.6e-18   67.1   1.1   1.7e-18   67.1   1.1   1.0   1   0   0   1   1   1   1 -
ENSPTRP00000027366   -          NOG40200             -            7.4e-18   64.9   0.0   7.7e-18   64.9   0.0   1.0   1   0   0   1   1   1   1 -
ENSPTRP00000002268   -          NOG40200             -            5.6e-17   62.0   0.6   6.3e-17   61.9   0.6   1.0   1   0   0   1   1   1   1 -
ENSPTRP00000002282   -          NOG40200             -            7.3e-16   58.4   0.3   8.5e-16   58.1   0.3   1.0   1   0   0   1   1   1   1 -
ENSPTRP00000002223   -          NOG40200             -              1e-15   57.9   0.0   1.1e-15   57.7   0.0   1.0   1   0   0   1   1   1   1 -
ENSPTRP00000048303   -          NOG40200             -            1.3e-14   54.2   2.2   1.4e-14   54.1   2.2   1.0   1   0   0   1   1   1   1 -
ENSPTRP00000092800   -          NOG40200             -            1.1e-12   47.9   0.0   1.2e-12   47.7   0.0   1.0   1   0   0   1   1   1   1 -
ENSPTRP00000093848   -          NOG40200             -            1.1e-12   47.9   0.0   1.2e-12   47.7   0.0   1.0   1   0   0   1   1   1   1 -
ENSPTRP00000002278   -          NOG40200             -            1.5e-12   47.4   0.1   1.5e-12   47.4   0.1   1.0   1   0   0   1   1   1   1 -
ENSPTRP00000088620   -          NOG40200             -            2.6e-12   46.6   0.0   1.3e-11   44.3   0.0   2.1   1   1   0   1   1   1   1 -
ENSPTRP00000093191   -          NOG40200             -            3.1e-12   46.4  12.3   5.8e-05   22.4   0.0   4.2   1   1   3   4   4   1   1 -
ENSPTRP00000063028   -          NOG40200             -            4.1e-12   46.0   0.0   2.8e-10   39.9   0.0   2.8   2   1   0   2   2   1   1 -
ENSPTRP00000092368   -          NOG40200             -            1.2e-11   44.5   0.0   1.2e-11   44.5   0.0   2.6   1   1   0   2   2   1   1 -
ENSPTRP00000072607   -          NOG40200             -            1.5e-11   44.1   0.0   1.6e-11   44.0   0.0   1.0   1   0   0   1   1   1   1 -
ENSPTRP00000092937   -          NOG40200             -            1.5e-11   44.1   0.0   1.6e-11   44.0   0.0   1.0   1   0   0   1   1   1   1 -
ENSPTRP00000081774   -          NOG40200             -            7.5e-11   41.8   8.1   1.3e-09   37.7   8.6   2.3   1   1   0   1   1   1   1 -
ENSPTRP00000002279   -          NOG40200             -            7.6e-11   41.8   3.1   7.9e-11   41.7   3.1   1.0   1   0   0   1   1   1   1 -
ENSPTRP00000080971   -          NOG40200             -            8.2e-11   41.7   0.0   8.8e-11   41.6   0.0   1.0   1   0   0   1   1   1   1 -
ENSPTRP00000087426   -          NOG40200             -            8.2e-11   41.7   0.0   8.8e-11   41.6   0.0   1.0   1   0   0   1   1   1   1 -
ENSPTRP00000082916   -          NOG40200             -            8.3e-11   41.7   0.0   2.1e-06   27.1   0.0   3.5   1   1   1   2   2   1   1 -
ENSPTRP00000087944   -          NOG40200             -            9.9e-11   41.4   0.0   1.2e-10   41.2   0.0   1.0   1   0   0   1   1   1   1 -
ENSPTRP00000002272   -          NOG40200             -            1.3e-10   41.1   0.7   1.3e-10   41.0   0.7   1.0   1   0   0   1   1   1   1 -
ENSPTRP00000002273   -          NOG40200             -              8e-10   38.4   0.1   8.8e-10   38.3   0.1   1.0   1   0   0   1   1   1   1 -
ENSPTRP00000088558   -          NOG40200             -            1.2e-09   37.8   0.0   1.5e-05   24.4   0.0   3.2   1   1   0   1   1   1   1 -
ENSPTRP00000021713   -          NOG40200             -              4e-09   36.1   5.8     4e-09   36.1   5.8   3.3   1   1   1   2   2   1   1 -
ENSPTRP00000051744   -          NOG40200             -            4.3e-09   36.0   0.2   4.5e-09   35.9   0.2   1.0   1   0   0   1   1   1   1 -
ENSPTRP00000090129   -          NOG40200             -            4.7e-09   35.9   0.0   5.1e-08   32.5   0.0   2.2   1   1   0   1   1   1   1 -
ENSPTRP00000083714   -          NOG40200             -            5.2e-09   35.7   0.0     4e-07   29.5   0.0   2.8   1   1   0   1   1   1   1 -
ENSPTRP00000027757   -          NOG40200             -            6.4e-09   35.4   3.0   2.6e-07   30.1   0.0   3.4   2   2   0   3   3   2   1 -
ENSPTRP00000037178   -          NOG40200             -            7.1e-09   35.3   0.9   8.1e-09   35.1   0.9   1.0   1   0   0   1   1   1   1 -
ENSPTRP00000086875   -          NOG40200             -            7.1e-09   35.3   0.9   8.1e-09   35.1   0.9   1.0   1   0   0   1   1   1   1 -
ENSPTRP00000065875   -          NOG40200             -            1.2e-08   34.6   3.2   2.4e+04  -20.3  53.6   1.8   1   1   0   1   1   0   0 -
ENSPTRP00000002222   -          NOG40200             -            1.3e-08   34.4   0.4   1.4e-08   34.3   0.4   1.0   1   0   0   1   1   1   1 -
ENSPTRP00000051768   -          NOG40200             -            3.7e-08   32.9   0.1   3.7e-08   32.9   0.1   3.7   1   1   2   3   3   1   1 -
ENSPTRP00000064203   -          NOG40200             -            4.3e-08   32.7   3.2   0.00061   19.0   0.0   2.4   2   1   0   2   2   2   1 -
ENSPTRP00000075915   -          NOG40200             -            5.6e-08   32.3   0.1     6e-08   32.2   0.1   1.0   1   0   0   1   1   1   1 -
ENSPTRP00000085714   -          NOG40200             -            7.6e-08   31.9  14.1   3.1e-06   26.6  14.1   2.1   1   1   0   1   1   1   1 -
ENSPTRP00000044185   -          NOG40200             -            8.3e-08   31.8   0.0   8.6e-08   31.7   0.0   1.0   1   0   0   1   1   1   1 -
ENSPTRP00000068346   -          NOG40200             -              1e-07   31.5   0.1   1.1e-07   31.4   0.1   1.0   1   0   0   1   1   1   1 -
ENSPTRP00000012229   -          NOG40200             -            1.2e-07   31.2   0.0   1.4e-05   24.4   0.0   3.7   2   2   0   2   2   2   1 -
ENSPTRP00000086314   -          NOG40200             -            1.7e-07   30.7   0.0     3e-07   29.9   0.0   1.4   1   1   0   1   1   1   1 -
ENSPTRP00000077401   -          NOG40200             -              2e-07   30.5   0.2   2.8e-07   30.0   0.2   1.2   1   0   0   1   1   1   1 -
ENSPTRP00000051743   -          NOG40200             -            2.4e-07   30.2   2.0   2.5e-07   30.2   2.0   1.0   1   0   0   1   1   1   1 -
