#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
ENSP00000272371      -          KOG1366              -                  0 2694.7   0.0         0 2691.2   0.0   1.9   2   0   0   2   2   2   1 -
ENSP00000428280      -          KOG1366              -                  0 2674.1   0.0         0 2673.9   0.0   1.0   1   0   0   1   1   1   1 -
ENSP00000386881      -          KOG1366              -                  0 1470.3   0.0  1.4e-298  994.0   0.0   3.0   3   0   0   3   3   3   3 -
ENSP00000352208      -          KOG1366              -                  0 1445.6   0.2  6.8e-293  975.2   0.0   3.0   3   0   0   3   3   3   3 -
ENSP00000493251      -          KOG1366              -           4.1e-296  985.9   0.4  1.8e-189  632.4   0.9   3.5   3   0   0   3   3   3   3 -
ENSP00000424126      -          KOG1366              -            1.9e-28   98.8   0.1   2.2e-09   35.6   0.0   3.1   3   0   0   3   3   3   3 -
ENSP00000376932      -          KOG1366              -            3.8e-22   77.9   1.1   1.7e-10   39.3   0.1   2.0   2   0   0   2   2   2   2 -
ENSP00000356236      -          KOG1366              -            5.3e-21   74.1   0.3   1.5e-09   36.2   0.1   2.0   2   0   0   2   2   2   2 -
ENSP00000228567      -          KOG1366              -            1.5e-20   72.6   0.3   1.4e-10   39.6   0.1   2.1   2   0   0   2   2   2   2 -
ENSP00000340914      -          KOG1366              -            4.5e-20   71.0   0.1   2.2e-10   38.9   0.0   2.0   2   0   0   2   2   2   2 -
ENSP00000450244      -          KOG1366              -            5.9e-20   70.7   0.0   3.6e-12   44.8   0.0   2.3   2   1   0   2   2   2   2 -
ENSP00000267113      -          KOG1366              -            6.9e-20   70.4   0.0   1.3e-06   26.4   0.0   4.9   5   0   0   5   5   5   3 -
ENSP00000324419      -          KOG1366              -            7.2e-20   70.3   0.3     3e-09   35.1   0.1   2.0   2   0   0   2   2   2   2 -
ENSP00000493062      -          KOG1366              -            2.3e-19   68.7   0.1   2.1e-09   35.6   0.0   2.0   2   0   0   2   2   2   2 -
ENSP00000350377      -          KOG1366              -              1e-18   66.6   0.0   2.2e-07   29.0   0.0   3.1   3   0   0   3   3   3   3 -
ENSP00000346265      -          KOG1366              -            2.8e-18   65.1   0.1   3.9e-09   34.8   0.0   2.0   2   0   0   2   2   2   2 -
ENSP00000439694      -          KOG1366              -            6.4e-18   63.9   0.4   8.3e-10   37.0   0.2   2.8   1   1   1   3   3   3   3 -
ENSP00000440384      -          KOG1366              -              5e-17   60.9   0.0   1.9e-08   32.5   0.0   2.1   2   0   0   2   2   2   2 -
ENSP00000482950      -          KOG1366              -            1.2e-16   59.6   0.0     2e-07   29.1   0.0   2.0   1   1   0   2   2   2   2 -
ENSP00000417238      -          KOG1366              -            1.2e-16   59.6   0.0     2e-07   29.1   0.0   2.0   1   1   0   2   2   2   2 -
ENSP00000262940      -          KOG1366              -              2e-16   58.9   0.0     3e-09   35.2   0.0   2.2   2   0   0   2   2   2   2 -
ENSP00000417895      -          KOG1366              -              2e-16   58.9   0.0     3e-09   35.2   0.0   2.2   2   0   0   2   2   2   2 -
ENSP00000340017      -          KOG1366              -            3.6e-15   54.8   0.0   1.3e-07   29.7   0.0   2.2   2   0   0   2   2   2   2 -
