#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
ENSMUSP00000138620   -          COG0666              -           6.1e-271  893.9 100.3   9.4e-41  140.3   9.1   7.6   1   1   9  10  10  10  10 -
ENSMUSP00000113571   -          COG0666              -           7.9e-211  697.1  58.5   2.9e-38  132.1   4.4   8.1   2   1   7   9   9   8   8 -
ENSMUSP00000123270   -          COG0666              -           5.5e-210  694.4  68.7   1.7e-31  110.0   0.1   8.8   2   2   7   9   9   9   9 -
ENSMUSP00000014421   -          COG0666              -           2.4e-199  659.5  65.3   2.9e-31  109.2   0.1   8.7   2   2   7   9   9   9   9 -
ENSMUSP00000040327   -          COG0666              -           7.5e-195  644.8  71.5     2e-33  116.3   0.8   8.6   2   1   6   9   9   9   9 -
ENSMUSP00000014642   -          COG0666              -           5.2e-194  642.1  83.9   8.2e-31  107.7   2.1   9.7   2   2   8  11  11  11  11 -
ENSMUSP00000153992   -          COG0666              -           7.4e-190  628.5  60.5     2e-35  122.8   0.7   8.1   1   1   7   8   8   8   8 -
ENSMUSP00000122842   -          COG0666              -           4.6e-139  462.2  36.5     2e-34  119.5   1.2   5.9   1   1   4   5   5   5   5 -
ENSMUSP00000033929   -          COG0666              -           1.4e-134  447.4  34.1   1.1e-32  113.8   1.6   7.4   3   2   3   6   6   6   6 -
ENSMUSP00000025729   -          COG0666              -           1.2e-132  441.1  33.4   1.9e-28  100.0   0.0   7.6   3   3   3   6   6   6   6 -
ENSMUSP00000144900   -          COG0666              -           5.2e-113  376.9   7.4   1.1e-82  277.5   1.4   4.0   2   2   0   3   3   3   3 -
ENSMUSP00000021617   -          COG0666              -           2.5e-112  374.6   0.0   4.8e-45  154.3   0.0   3.3   2   1   1   3   3   3   3 -
ENSMUSP00000031696   -          COG0666              -           8.3e-106  353.3   0.0   1.2e-88  297.0   0.0   3.0   2   1   0   2   2   2   2 -
ENSMUSP00000019386   -          COG0666              -           4.2e-103  344.4  34.1   1.6e-29  103.5   6.3   4.3   1   1   3   4   4   4   4 -
ENSMUSP00000043594   -          COG0666              -           6.5e-101  337.3  30.2   1.9e-24   86.9   0.1   5.1   1   1   5   6   6   6   6 -
ENSMUSP00000087810   -          COG0666              -            4.9e-98  327.8  17.0   2.1e-83  280.0  10.9   3.5   2   1   0   2   2   2   2 -
ENSMUSP00000155147   -          COG0666              -            4.9e-98  327.8  17.0   2.1e-83  280.0  10.9   3.5   2   1   0   2   2   2   2 -
ENSMUSP00000063999   -          COG0666              -            2.8e-93  312.3   1.6   3.5e-31  109.0   0.0   4.0   1   1   3   4   4   4   4 -
ENSMUSP00000030029   -          COG0666              -              1e-87  294.0   6.8   2.4e-26   93.1   0.2   4.5   1   1   2   4   4   4   4 -
ENSMUSP00000033918   -          COG0666              -            1.5e-87  293.5   4.4   1.7e-87  293.3   4.4   1.0   1   0   0   1   1   1   1 -
ENSMUSP00000033756   -          COG0666              -            8.2e-84  281.3   3.4   9.2e-84  281.1   3.4   1.0   1   0   0   1   1   1   1 -
ENSMUSP00000046476   -          COG0666              -            4.7e-83  278.8   4.7   5.3e-83  278.6   4.7   1.0   1   0   0   1   1   1   1 -
ENSMUSP00000118751   -          COG0666              -            2.4e-81  273.2  32.0   4.7e-20   72.5   7.3   6.2   2   2   3   5   5   5   5 -
ENSMUSP00000044637   -          COG0666              -            1.8e-80  270.3  11.3   2.1e-80  270.1  11.3   1.0   1   0   0   1   1   1   1 -
ENSMUSP00000084054   -          COG0666              -            1.4e-79  267.4   0.0   1.6e-79  267.2   0.0   1.0   1   0   0   1   1   1   1 -
ENSMUSP00000033549   -          COG0666              -            2.9e-77  259.8   0.5   3.3e-77  259.7   0.5   1.0   1   0   0   1   1   1   1 -
ENSMUSP00000034792   -          COG0666              -            6.6e-73  245.6  17.5   1.1e-27   97.5   0.9   3.2   1   1   2   3   3   3   3 -
ENSMUSP00000028726   -          COG0666              -            1.5e-68  231.3   0.9   3.1e-24   86.2   0.0   3.8   2   2   2   4   4   4   4 -
ENSMUSP00000097904   -          COG0666              -              4e-66  223.3   9.4   7.5e-40  137.3   0.2   3.7   1   1   3   4   4   4   4 -
ENSMUSP00000041751   -          COG0666              -            1.2e-65  221.7  22.2   5.3e-30  105.1   7.7   4.9   3   2   2   5   5   4   3 -
ENSMUSP00000123345   -          COG0666              -            3.5e-64  217.0  19.6   8.4e-39  133.9   0.2   3.5   1   1   2   3   3   3   3 -
ENSMUSP00000041539   -          COG0666              -            2.7e-63  214.1  10.5   1.3e-33  116.9   5.3   3.2   1   1   1   2   2   2   2 -
ENSMUSP00000129173   -          COG0666              -            7.9e-63  212.6  19.9   1.7e-23   83.8   2.7   3.9   1   1   2   3   3   3   3 -
ENSMUSP00000061208   -          COG0666              -            2.2e-61  207.8   6.4   3.1e-24   86.2   0.3   3.2   2   1   1   3   3   3   3 -
ENSMUSP00000150130   -          COG0666              -            7.4e-61  206.1  21.3     7e-34  117.8   6.8   3.3   1   1   2   3   3   3   3 -
ENSMUSP00000061643   -          COG0666              -            1.4e-57  195.4  15.9   3.3e-29  102.5   2.0   3.1   2   1   1   3   3   3   3 -
ENSMUSP00000114028   -          COG0666              -            7.2e-57  193.1   6.3   6.5e-35  121.2   2.3   3.4   1   1   1   2   2   2   2 -
ENSMUSP00000024958   -          COG0666              -            8.1e-57  192.9   8.3   1.8e-34  119.7   2.3   2.2   1   1   1   2   2   2   2 -
ENSMUSP00000083385   -          COG0666              -            3.5e-56  190.8   0.0   1.3e-28  100.5   0.0   2.4   1   1   1   2   2   2   2 -
ENSMUSP00000155271   -          COG0666              -            2.4e-54  184.8  10.1   3.8e-34  118.7   4.5   3.3   2   1   1   3   3   3   3 -
ENSMUSP00000041328   -          COG0666              -            1.8e-53  181.9  15.9   1.5e-32  113.4   3.6   2.6   1   1   1   2   2   2   2 -
ENSMUSP00000025058   -          COG0666              -            1.1e-52  179.4   9.5   1.1e-27   97.5   2.3   3.0   2   1   1   3   3   2   2 -
ENSMUSP00000052056   -          COG0666              -            1.5e-52  178.9  11.0   1.5e-27   97.1   0.0   2.4   1   1   1   2   2   2   2 -
ENSMUSP00000122395   -          COG0666              -            2.9e-52  178.0   0.8   4.5e-33  115.1   0.0   3.1   1   1   2   3   3   3   3 -
ENSMUSP00000033805   -          COG0666              -            7.5e-52  176.6   7.1   9.5e-30  104.3   1.5   2.2   1   1   1   2   2   2   2 -
ENSMUSP00000155318   -          COG0666              -            7.5e-52  176.6   7.1   9.5e-30  104.3   1.5   2.2   1   1   1   2   2   2   2 -
ENSMUSP00000038816   -          COG0666              -            7.6e-52  176.6   7.8   7.5e-23   81.7   0.2   4.6   3   1   1   4   4   3   3 -
