#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
ENSRNOP00000072921   -          NOG46262             -                  0 1743.6 178.9         0 1736.1 173.0   4.4   4   1   0   4   4   3   2 -
ENSRNOP00000073851   -          NOG46262             -            8.6e-70  236.2 156.5   1.1e-40  139.7  63.5   5.9   3   1   3   6   6   5   4 -
ENSRNOP00000072307   -          NOG46262             -            9.6e-05   20.7   9.6   9.6e-05   20.7   9.6   9.2   4   4   5   9   9   1   1 -
ENSRNOP00000058381   -          NOG46262             -              0.015   13.4   5.1     0.018   13.2   5.1   1.1   1   0   0   1   1   1   0 -
ENSRNOP00000061875   -          NOG46262             -              0.024   12.8   9.4     0.033   12.3   9.4   1.2   1   0   0   1   1   1   0 -
ENSRNOP00000057176   -          NOG46262             -              0.043   12.0   0.0     0.043   12.0   0.0   2.8   3   1   0   3   3   1   0 -
ENSRNOP00000075283   -          NOG46262             -              0.043   11.9   2.5     0.056   11.6   2.5   1.0   1   0   0   1   1   1   0 -
ENSRNOP00000034933   -          NOG46262             -              0.047   11.8  16.4     0.071   11.2  16.4   1.2   1   0   0   1   1   1   0 -
ENSRNOP00000027428   -          NOG46262             -              0.048   11.8  15.5     0.062   11.4  15.5   1.3   1   0   0   1   1   1   0 -
ENSRNOP00000066009   -          NOG46262             -              0.051   11.7   5.4     0.061   11.4   5.4   1.1   1   0   0   1   1   1   0 -
ENSRNOP00000024110   -          NOG46262             -              0.061   11.4   0.9     0.067   11.3   0.9   1.0   1   0   0   1   1   1   0 -
ENSRNOP00000028527   -          NOG46262             -              0.065   11.4  12.0      0.11   10.6  12.0   1.2   1   0   0   1   1   1   0 -
ENSRNOP00000007258   -          NOG46262             -               0.07   11.2   2.0      0.08   11.1   2.0   1.2   1   0   0   1   1   1   0 -
ENSRNOP00000025308   -          NOG46262             -                0.1   10.7   0.8      0.13   10.4   0.8   1.1   1   0   0   1   1   1   0 -
ENSRNOP00000023318   -          NOG46262             -               0.11   10.5   2.8      0.19    9.8   2.8   1.2   1   0   0   1   1   1   0 -
ENSRNOP00000060265   -          NOG46262             -               0.14   10.2   0.0      0.37    8.9   0.0   1.5   1   1   0   1   1   1   0 -
ENSRNOP00000026286   -          NOG46262             -               0.16   10.1   9.3      0.19    9.8   9.3   1.1   1   0   0   1   1   1   0 -
ENSRNOP00000008837   -          NOG46262             -               0.18    9.9   3.0      0.19    9.8   3.0   1.0   1   0   0   1   1   1   0 -
ENSRNOP00000020374   -          NOG46262             -               0.18    9.9   0.3       0.2    9.8   0.3   1.0   1   0   0   1   1   1   0 -
